Academic Year,Effective Term Code,Subject Id,Subject Code,Subject Number,Source Subject Id,Print Subject Id,Department Code,Department Name,Subject Short Title,Subject Title,Is Variable Units,Lecture Units,Lab Units,Preparation Units,Total Units,Gir Attribute,Gir Attribute Desc,Comm Req Attribute,Comm Req Attribute Desc,Write Req Attribute,Write Req Attribute Desc,Supervisor Attribute Desc,Prerequisites,Subject Description,Joint Subjects,School Wide Electives,Meets With Subjects,Equivalent Subjects,Is Offered This Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Fall Instructors,Spring Instructors,Status Change,Last Activity Date,Warehouse Load Date,Master Subject Id,Hass Attribute,Hass Attribute Desc,Term Duration,On Line Page Number
2017,2017FA,17.504,17,504,17.504,17.504,17,"Political Science","Ethnic Politics I","Ethnic Politics I",N,4.00,0.00,8.00,12.00,,,,,,,,"Permission of instructor#,#, , ,","Introduces students to the classic works on ethnic politics, familiarizes them with new research and methodological innovations in the study of ethnic politics, and helps them design and execute original research projects related to ethnic politics. Readings drawn from across disciplines, including political science, anthropology, sociology, and economics. Students read across the four subfields within political science. Graduate students specializing in any subfield are encouraged to take this subject, regardless of their previous empirical or theoretical background. Designed as a year-long research workshop, but may also be taken in either term.",,,,,N,Y,N,N,N,"M. Nobles","M. Nobles","(2018: Removed subject)","03/29/17 12:00 AM","05/04/17 12:12 AM",17.504,,,"Full Term Subject",http://student.mit.edu/catalog/m17b.html
2018,2018FA,17.506,17,506,17.506,17.506,17,"Political Science","Ethnic Politics","Ethnic Politics",N,3.00,0.00,9.00,12.00,,,,,,,,"Permission of instructor#,#, , ,","Introduces students to the classic works on ethnic politics, familiarizes them with new research and methodological innovations in the study of ethnic politics, and helps them design and execute original research projects related to ethnic politics. Readings drawn from across disciplines, including political science, anthropology, sociology, and economics. Students read across the four subfields within political science. Graduate students specializing in any subfield are encouraged to take this subject, regardless of their previous empirical or theoretical background.",,,,,N,N,N,Y,N,"R. Petersen","R. Petersen",,"02/23/17 12:00 AM","05/04/17 12:12 AM",17.506,,,"Full Term Subject",http://student.mit.edu/catalog/m17b.html
2018,2016FA,17.509,17,509,17.509,17.509,17,"Political Science","Soc Move in Comp Perspect","Social Movements in Comparative Perspective",N,3.00,0.00,9.00,12.00,,,,,,,,,"Explores why people join grassroots political organizations and social movements. Asks what accounts for the ultimate success or failure of these organizations and examines how social movements have altered political parties, political institutions, and social relations. Critically considers a range of theoretical treatments and several movements, including the US civil rights, poor peoples', pro-life/pro-choice and gay/lesbian movements.",,,,,N,N,N,Y,N,"M. Nobles","M. Nobles",,"11/10/16 12:00 AM","05/04/17 12:12 AM",17.509,HS,"HASS Social Sciences","Full Term Subject",http://student.mit.edu/catalog/m17b.html
2018,2015FA,17.515,17,515,17.515,17.515,17,"Political Science","Comparative Electoral Politics","Comparative Electoral Politics",N,3.00,0.00,9.00,12.00,,,,,,,,,"Subject discusses classic and current issues in electoral politics. Focus is mostly thematic, although the topics will be discussed in the context of different countries and regions. Examples of the topics are: party systems, old and new political cleavages, representation, electoral systems, and immigration and its effect on the party system. Two country-specific case studies explored in depth.",,,,,N,N,N,Y,N,Staff,Staff,,"11/10/16 12:00 AM","05/04/17 12:12 AM",17.515,HS,"HASS Social Sciences","Full Term Subject",http://student.mit.edu/catalog/m17b.html
2018,2016FA,17.516,17,516,17.516,17.516,17,"Political Science","Transitional Justice","Transitional Justice",N,3.00,0.00,9.00,12.00,,,,,,,,"Permission of instructor#,#, , ,","Emerging democracies are now confronted with what has been termed "the torturer problem." The questions are old ones: What is to be done about the perpetrator(s) and what is to be done for the abused? Seminar broadly examines the theoretical and empirical approaches to understanding the  issues commonly associated with "transitional justice," including its motivations, agents, institutions, and decisions. Cases are drawn from various countries and historical periods, including post-World War II Europe, 19th-century America, and 20th-century Africa and Latin America.",,,,,N,N,N,Y,N,"M. Nobles","M. Nobles",,"11/10/16 12:00 AM","05/04/17 12:12 AM",17.516,,,"Full Term Subject",http://student.mit.edu/catalog/m17b.html
2017,2015FA,17.517,17,517,17.517,17.517,17,"Political Science","Forms of Participation","Participation in Public Life",N,3.00,0.00,9.00,12.00,,,,,,,,,"Examines how and why people participate in public life and political affairs.  Drawing on examples from around the world, students analyze the effects of social networks, community norms, and associational activities on the functioning of democracy, regime stability, state capacity, and international politics.",,,,,N,N,N,Y,N,"L. Tsai","L. Tsai","(2018: Removed subject)","03/16/17 12:00 AM","05/04/17 12:12 AM",17.517,HS,"HASS Social Sciences","Full Term Subject",http://student.mit.edu/catalog/m17b.html
2018,2016FA,17.523,17,523,17.523,17.523,17,"Political Science","Ethnic Conflict World Politics","Ethnic Conflict in World Politics",N,3.00,0.00,9.00,12.00,,,,,,,,,"Ethnic and racial conflict appear to be the hallmark of the post-Cold War world. Students explore the rise of ethnic/racial and nationalist sentiments and movements; the basis of ethnic and racial identity; the political claims and goals of such movements, and whether conflict is inevitable. Introduces the dominant theoretical approaches to race, ethnicity, and nationalism, and considers them in light of current events in Africa, Europe, Asia, and the Americas.",,,,,N,Y,N,N,N,"M. Nobles","M. Nobles",,"11/10/16 12:00 AM","05/04/17 12:12 AM",17.523,HS,"HASS Social Sciences","Full Term Subject",http://student.mit.edu/catalog/m17b.html
2018,2016FA,17.480,17,480,17.480,17.480,17,"Political Science","Modern Military Ops","Understanding Modern Military Operations",N,3.00,0.00,9.00,12.00,,,,,,,,"Permission of Instructor#,#, , ,","Examines selected past, current, and future sea, air, space, and land battlefields and looks at the interaction in each of these warfare areas between existing military doctrine and weapons, sensors, communications, and information processing technologies. Explores how technological development, whether innovative or stagnant, is influenced in each warfare area by military doctrine.",,,,,Y,N,N,Y,N,"O. Cote","O. Cote",,"11/10/16 12:00 AM","05/04/17 12:12 AM",17.480,,,"Full Term Subject",http://student.mit.edu/catalog/m17b.html
2018,2017FA,17.482,17,482,17.482,17.482,17,"Political Science","US Military Power","US Military Power",N,3.00,0.00,9.00,12.00,,,,,,,,"Permission of instructor#,#, , ,","Examines the evolving roles and missions of US General Purpose Forces within the context of modern technological capabilities and Grand Strategy, which is a conceptual system of interconnected political and military means and ends. Topics include US Grand Strategies; the organization of the US military; the defense budget; and the capabilities and limitations of naval, air, and ground forces. Also examines the utility of these forces for power projection and the problems of escalation. Analyzes military history and simple models of warfare to explore how variations in technology and battlefield conditions can drastically alter effectiveness of conventional forces.  17.483 fulfills undergraduate public policy requirement in the major and minor. Students taking the graduate version are expected to pursue the subject in greater depth through reading and individual research.",,,"17.483#,#17.483",,Y,N,N,Y,N,"B. Posen","B. Posen",,"11/10/16 12:00 AM","05/04/17 12:12 AM",17.483,,,"Full Term Subject",http://student.mit.edu/catalog/m17b.html
2018,2017FA,17.483,17,483,17.483,17.483,17,"Political Science","US Military Power","US Military Power",N,3.00,0.00,9.00,12.00,,,,,,,,"Freshmen need permission of instructor#,#, , , , ,","Examines the evolving roles and missions of US General Purpose Forces within the context of modern technological capabilities and Grand Strategy, which is a conceptual system of interconnected political and military means and ends. Topics include US Grand Strategies; the organization of the US military; the defense budget; and the capabilities and limitations of naval, air, and ground forces. Also examines the utility of these forces for power projection and the problems of escalation. Analyzes military history and simple models of warfare to explore how variations in technology and battlefield conditions can drastically alter effectiveness of conventional forces.  17.483 fulfills undergraduate public policy requirement in the major and minor. Students taking the graduate version are expected to pursue the subject in greater depth through reading and individual research.",,,"17.482#,#17.482",,Y,N,N,Y,N,"B. Posen","B. Posen",,"11/10/16 12:00 AM","05/04/17 12:12 AM",17.483,HS,"HASS Social Sciences","Full Term Subject",http://student.mit.edu/catalog/m17b.html
