Academic Year,Effective Term Code,Subject Id,Subject Code,Subject Number,Source Subject Id,Print Subject Id,Department Code,Department Name,Subject Short Title,Subject Title,Is Variable Units,Lecture Units,Lab Units,Preparation Units,Total Units,Gir Attribute,Gir Attribute Desc,Comm Req Attribute,Comm Req Attribute Desc,Write Req Attribute,Write Req Attribute Desc,Supervisor Attribute Desc,Prerequisites,Subject Description,Joint Subjects,School Wide Electives,Meets With Subjects,Equivalent Subjects,Is Offered This Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Fall Instructors,Spring Instructors,Status Change,Last Activity Date,Warehouse Load Date,Master Subject Id,Hass Attribute,Hass Attribute Desc,Term Duration,On Line Page Number
2018,2018FA,21G.308,21G,308,21G.308,21G.308,21G,"Global Studies and Languages","Writing (Like the) French","Writing (Like the) French",N,3.00,0.00,9.00,12.00,,,,,,,,"21G.304, or permission of instructor#,#21G.304, , , , ,","For students who wish to continue with language study before taking upper-level subjects in literature or culture. Emphasis on development of reading and writing skills, review of the basic concepts of French grammar, and acquisition of precise vocabulary through the use of printed materials, short stories, and poems. Taught in French.",,,,,Y,N,N,Y,N,"C. Culot","C. Culot",,"12/21/16 12:00 AM","05/04/17 12:12 AM",21G.308,HH,"HASS Humanities","Full Term Subject",http://student.mit.edu/catalog/m21Gd.html
2018,2018FA,21G.310,21G,310,21G.310,21G.310,21G,"Global Studies and Languages","French Conversation","French Conversation: Intensive Practice",N,3.00,0.00,9.00,12.00,,,,,,,,"21G.304, or permission of instructor#,#21G.304, , , , ,","Training in oral expression including communication skills, fluency, idiomatic French and pronunciation. Discussion materials include short literary and sociological texts, recent films, varied audio and digitized video interviews and the Internet. Taught in French. Limited to 16.",,,,,Y,Y,N,N,N,"L. Rezvani","L. Rezvani",,"03/21/17 12:00 AM","05/04/17 12:12 AM",21G.310,HH,"HASS Humanities","Full Term Subject",http://student.mit.edu/catalog/m21Gd.html
2018,2018FA,21G.311,21G,311,21G.311,21G.311,21G,"Global Studies and Languages","Intro to French Culture","Introduction to French Culture",N,3.00,0.00,9.00,12.00,,,,,,,,"21G.304, or permission of instructor#,#21G.304, , , , ,","Examines major social and political trends, events, debates and personalities which help place various aspects of contemporary French culture in their historical perspective. Topics include the heritage of the French Revolution, the growth and consequences of colonialism, the role of intellectuals in public debates, the impact of the Occupation, the modernization of the economy and of social structures. Also studied are the sources and meanings of national symbols, monuments, myths and manifestoes. Documents include fiction, films, essays, newspaper articles, and television shows. Recommended for students planning to study abroad. Taught in French.",,,,,N,N,N,Y,N,"Consult C. Clark","Consult C. Clark",,"12/21/16 12:00 AM","05/04/17 12:12 AM",21G.311,HH,"HASS Humanities","Full Term Subject",http://student.mit.edu/catalog/m21Gd.html
2018,2018FA,21G.312,21G,312,21G.312,21G.312,21G,"Global Studies and Languages","Basic Themes French Lit & Cult","Basic Themes in French Literature and Culture",N,3.00,0.00,9.00,12.00,,,,,,,,"21G.304, or permission of instructor#,#21G.304, , , , ,","Introduction to literary and cultural analysis through the close reading and discussion of texts united by a common theme.  Taught in French.",,,,,Y,Y,N,N,N,"Consult A. Edoh","Consult A. Edoh",,"12/21/16 12:00 AM","05/04/17 12:12 AM",21G.312,HH,"HASS Humanities","Full Term Subject",http://student.mit.edu/catalog/m21Gd.html
2018,2017FA,21G.315,21G,315,21G.315,21G.315,21G,"Global Studies and Languages","Perspectives on French Society","A Window onto Contemporary French Society",N,3.00,0.00,9.00,12.00,,,,,,,,"21G.304, or permission of instructor#,#21G.304, , , , ,","Intermediate subject designed to help students gradually build an in-depth understanding of France. Focuses on French attitudes and values regarding education, work, family, and institutions. Deals with the differing notions that underlie interpersonal interactions and communication styles, such as politeness, friendship, and formality. Using a Web comparative, cross-cultural approach, students explore a variety of French and American materials, then analyze and compare using questionnaires, opinion polls, news reports (in different media), as well as a variety of historical, anthropological and literary texts. Students involved in team research projects. Attention given to the development of relevant linguistics skills. Recommended for students planning to study and work in France. Taught in French.",,,,,Y,N,N,Y,N,"S. Levet","S. Levet",,"11/10/16 12:00 AM","05/04/17 12:12 AM",21G.315,HH,"HASS Humanities","Full Term Subject",http://student.mit.edu/catalog/m21Gd.html
2018,2017FA,21G.320,21G,320,21G.320,21G.320,21G,"Global Studies and Languages","Intro to French Literature","Introduction to French Literature",N,3.00,0.00,9.00,12.00,,,,,,,,"21G.304, or permission of instructor#,#21G.304, , , , ,","A basic study of major French literary genres &#8212; poetry, drama, and fiction &#8212; and an introduction to methods of literary analysis. Authors include: Voltaire, Balzac, Sand, Baudelaire, Apollinaire, Camus, Sartre, Ionesco, Duras, and Tournier. Special attention devoted to the improvement of French language skills. Taught in French.",,,,,Y,N,N,Y,N,"L. Rezvani","L. Rezvani",,"11/10/16 12:00 AM","05/04/17 12:12 AM",21G.320,HH,"HASS Humanities","Full Term Subject",http://student.mit.edu/catalog/m21Gd.html
2018,2018FA,21G.321,21G,321,21G.321,21G.321,21G,"Global Studies and Languages","Youth in Francophone Cultures","Childhood and Youth in French and Francophone Cultures",N,3.00,0.00,9.00,12.00,,,,,,,,"One intermediate subject in French#,#, , , , ,","Studies the transformation of childhood and youth since the 18th century in France, as well as the development of sentimentality within the family in a francophone context. Examines the personification of children, both as a source of inspiration for artistic creation and a political ideal aimed at protecting future generations. Considers various representations of childhood and youth in literature (e.g., Pagnol, Proust, Sarraute, Laye, Morgi&eacute;vre), movies (e.g., Truffaut), and songs (e.g., Brel, Barbara). Taught in French.",,,,,N,N,N,Y,N,"B. Perreau","B. Perreau",,"01/18/17 12:00 AM","05/04/17 12:12 AM",21G.321,HH,"HASS Humanities","Full Term Subject",http://student.mit.edu/catalog/m21Gd.html
2018,2016FA,21G.322,21G,322,21G.322,21G.322J,21G,"Global Studies and Languages","Frenchness in Globalzation Era","Frenchness in an Era of Globalization",N,3.00,0.00,9.00,12.00,,,,,,,,"One intermediate subject in French or permission of instructor#,#, , , , , , , , ,","Approaches the question of what constitutes Frenchness in today's era of globalization through issues of memory, belonging, and cultural production. Explores the role of timeless traditions - common technologies, an internationally-spoken language, monuments open to the world, and foods such as wine and cheese - remain quintessentially French. Also covers recent scandals about France's role in the world, such as its colonial identity and Dominique Strauss-Kahn's New York debacle. Taught in French. Limited to 18.","21H.242J#,#21H.242J",,,,N,Y,N,N,N,"C. Clark","C. Clark",,"11/10/16 12:00 AM","05/04/17 12:12 AM",21G.322,HH,"HASS Humanities","Full Term Subject",http://student.mit.edu/catalog/m21Gd.html
2018,2017FA,21G.059,21G,059,21G.059,21G.059,21G,"Global Studies and Languages","European Thought and Culture","Paradigms of European Thought and Culture",N,3.00,0.00,9.00,12.00,,,CIH,"Communication Intensive HASS",,,,,"Subject surveys the main currents of European cultural and intellectual history in the modern period. Introduces a set of ideas and arguments that have played a formative role in European culture, and acquaints students with exemplars of critical thought. Readings begin with the Protestant Reformation and move through the French Revolution up to the post-WWII period. Figures to be considered include Luther, Descartes, Kant, Hegel, Rousseau, Smith, Marx, Freud, Beauvoir, and Foucault. Class discussions set these texts into the context of European culture. Topics to be considered are artworks by Goya, David, and Duchamp; the architecture of Schinkel; the music of Bach; and the literature of Goethe. Taught in English.",,,,,N,Y,N,N,N,"Consult E. Crocker","Consult E. Crocker",,"11/10/16 12:00 AM","05/04/17 12:12 AM",21G.059,HH,"HASS Humanities","Full Term Subject",http://student.mit.edu/catalog/m21Ga.html
2018,2017FA,21G.702,21G,702,21G.702,21G.702,21G,"Global Studies and Languages","Spanish II","Spanish II",N,4.00,0.00,8.00,12.00,,,,,,,,"21G.701, or permission of instructor#,#21G.701, , , , ,","Continues the study of Spanish language and culture using audio, video and print materials, feature films and popular music from Latin America and Spain. Emphasizes writing, vocabulary acquisition, and the study of more complex grammatical structures. Students develop oral skills through group interaction and short presentations. For graduate credit see 21G.752. Limited to 18 per section.",,,"21G.752#,#21G.752","21G.700, 21G.782, 21G.783#,#21G.700, 21G.782, 21G.783",Y,Y,N,Y,N,"R. Herr","L. Soto",,"11/10/16 12:00 AM","05/04/17 12:12 AM",21G.702,HH,"HASS Humanities","Full Term Subject",http://student.mit.edu/catalog/m21Gs.html
