Academic Year,Effective Term Code,Subject Id,Subject Code,Subject Number,Source Subject Id,Print Subject Id,Department Code,Department Name,Subject Short Title,Subject Title,Is Variable Units,Lecture Units,Lab Units,Preparation Units,Total Units,Gir Attribute,Gir Attribute Desc,Comm Req Attribute,Comm Req Attribute Desc,Write Req Attribute,Write Req Attribute Desc,Supervisor Attribute Desc,Prerequisites,Subject Description,Joint Subjects,School Wide Electives,Meets With Subjects,Equivalent Subjects,Is Offered This Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Fall Instructors,Spring Instructors,Status Change,Last Activity Date,Warehouse Load Date,Master Subject Id,Hass Attribute,Hass Attribute Desc,Term Duration,On Line Page Number
2018,2018FA,21H.211,21H,211,21H.211,21H.211,21H,History,"US in the Nuclear Age","The United States in the Nuclear Age",N,3.00,0.00,9.00,12.00,,,,,,,,,"Examines the culture that developed in the US during the early years of the Cold War, at the dawn of the nuclear age. Topics include new family structures and civil defense strategies that emerged in response to the promise and perils of nuclear power; the role of anxiety and insecurity in transforming American politics and psychology; the development of computing technology and the changes it brought to American workspaces; the social impacts of space exploration, suburbanization, and the construction of highways and shopping malls; and new models used by social scientists and other experts to predict human behavior and the future.",,,,,N,N,N,Y,N,"C. Horan","C. Horan",,"12/09/16 12:00 AM","05/04/17 12:12 AM",21H.211,HH,"HASS Humanities","Full Term Subject",http://student.mit.edu/catalog/m21Ha.html
2018,2018FA,21H.213,21H,213,17.28,21H.213J,21H,History,"US Poitics& Society in Wartime","The War at Home: American Politics and Society in Wartime",N,3.00,0.00,9.00,12.00,,,,,,,,,"Examines the relationship between war and domestic politics in the US since the start of 20th century. Students engage in historical and social scientific research to analyze the ways that overseas military commitments shaped US political institutions, and how domestic politics has in turn structured US engagements abroad. Moving chronologically from World War I to the Iraq War, subject draws on materials across the disciplines, including political documents, opinion polls, legal decisions, and products of American popular culture.","17.28J#,#17.28J",,,,N,N,N,Y,N,"A. Berinsky, C. Capozzola","A. Berinsky, C. Capozzola",,"12/13/16 12:00 AM","05/04/17 12:12 AM",17.28,HS,"HASS Social Sciences","Full Term Subject",http://student.mit.edu/catalog/m21Ha.html
2018,2018FA,21H.991,21H,991,21H.991,21H.991,21H,History,"Study of History","Theories and Methods in the Study of History",N,3.00,0.00,9.00,12.00,,,,,,,,"Permission of instructor#,#, , ,","Examines the distinctive ways in which historians in different parts of the world have approached the task of writing history. Explores methodologies used, such as political, social, economic, cultural, and popular histories through the reading and discussion of relevant and innovative texts. Introduces a variety of sources (archival documents, statistical data, film, fiction, memoirs, artifacts, and images) and the ways they can be used to research, interpret, and present the past. Assignments include an original research paper.  Students taking graduate version complete additional assignments.",,,"21H.390#,#21H.390",,Y,Y,N,N,N,"C. Capozzola","C. Capozzola",,"02/16/17 12:00 AM","05/04/17 12:12 AM",21H.390,,,"Full Term Subject",http://student.mit.edu/catalog/m21Hb.html
2018,2012FA,21H.992,21H,992,21H.992,21H.992,21H,History,"Graduate Independent Study","Graduate Independent Study",Y,0.00,0.00,0.00,0.00,,,,,,,"Independent Study","Permission of instructor#,#, , ,","Individual supervised work for students who wish to explore an area of interest in history. Before registering, a student must plan a course of study with a member of the History Faculty and secure approval from the Head of the History Faculty.",,,,,Y,Y,N,Y,N,,,,"11/10/16 12:00 AM","05/04/17 12:12 AM",21H.992,,,"Full Term Subject",http://student.mit.edu/catalog/m21Hb.html
2018,2012FA,21H.993,21H,993,21H.993,21H.993,21H,History,"Graduate Independent Study","Graduate Independent Study",Y,0.00,0.00,0.00,0.00,,,,,,,"Independent Study","Permission of instructor#,#, , ,","Individual supervised work for students who wish to explore an area of interest in history. Before registering, a student must plan a course of study with a member of the History Faculty and secure approval from the Head of the History Faculty.",,,,,Y,Y,N,Y,N,Staff,Staff,,"11/10/16 12:00 AM","05/04/17 12:12 AM",21H.993,,,"Full Term Subject",http://student.mit.edu/catalog/m21Hb.html
2018,2011FA,21H.999,21H,999,21H.999,21H.999,21H,History,"Teaching History","Teaching History",Y,0.00,0.00,0.00,0.00,,,,,,,,,"For qualified graduate students serving as either a teaching assistant or instructor for subjects in History. Enrollment limited by availability of suitable teaching assignments.",,,,,Y,Y,N,Y,N,Staff,Staff,,"11/10/16 12:00 AM","05/04/17 12:12 AM",21H.999,,,"Full Term Subject",http://student.mit.edu/catalog/m21Hb.html
2018,2016FA,21H.S01,21H,S01,21H.S01,21H.S01,21H,History,"Special Subject: History","Special Subject: History",N,3.00,0.00,9.00,12.00,,,,,,,,"Permission of instructor#,#, , ,","Opportunity for group study of special subject not listed in the regular History curriculum.",,,,,Y,Y,N,Y,N,Staff,Staff,,"11/10/16 12:00 AM","05/04/17 12:12 AM",21H.S01,,,"Full Term Subject",http://student.mit.edu/catalog/m21Hb.html
2018,2016FA,21H.THT,21H,THT,21H.THT,21H.THT,21H,History,"Hist Pre-Thesis Tutorial","History Pre-Thesis Tutorial",Y,0.00,0.00,0.00,0.00,,,,,,,,,"Students writing a thesis in History develop their research topics, review relevant research and scholarship, frame their research questions and arguments, choose an appropriate methodology for analysis, and draft the introductory and methodology sections of their theses. Includes substantial practice in writing (with revision) and oral presentations.",,,,,Y,Y,N,Y,N,Staff,Staff,,"11/10/16 12:00 AM","05/04/17 12:12 AM",21H.THT,,,"Full Term Subject",http://student.mit.edu/catalog/m21Hb.html
2018,2016FA,21H.THU,21H,THU,21H.THU,21H.THU,21H,History,"History Thesis","History Thesis",Y,0.00,0.00,0.00,0.00,,,CIM,"Communication Intensive Major",,,"Undergrad Thesis","21H.THT#,#21H.THT","Completion of work on the senior major thesis under supervision of a faculty thesis advisor. Includes oral presentation of thesis progress early in the term, assembling and revising the final text, and a final meeting with a committee of faculty evaluators to discuss the successes and limitations of the project. Required for students pursuing a full major in History.",,,,,Y,Y,N,Y,N,Staff,Staff,,"11/10/16 12:00 AM","05/04/17 12:12 AM",21H.THU,,,"Full Term Subject",http://student.mit.edu/catalog/m21Hb.html
2018,2016FA,21H.UR,21H,UR,21H.UR,21H.UR,21H,History,"Undergraduate Research","Undergraduate Research",Y,0.00,0.00,0.00,0.00,,,,,,,"UROP subject",,,,,,,Y,Y,Y,Y,Y,,,,"11/10/16 12:00 AM","05/04/17 12:12 AM",21H.UR,,,"Full Term Subject",http://student.mit.edu/catalog/m21Hb.html
