Academic Year,Effective Term Code,Subject Id,Subject Code,Subject Number,Source Subject Id,Print Subject Id,Department Code,Department Name,Subject Short Title,Subject Title,Is Variable Units,Lecture Units,Lab Units,Preparation Units,Total Units,Gir Attribute,Gir Attribute Desc,Comm Req Attribute,Comm Req Attribute Desc,Write Req Attribute,Write Req Attribute Desc,Supervisor Attribute Desc,Prerequisites,Subject Description,Joint Subjects,School Wide Electives,Meets With Subjects,Equivalent Subjects,Is Offered This Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Fall Instructors,Spring Instructors,Status Change,Last Activity Date,Warehouse Load Date,Master Subject Id,Hass Attribute,Hass Attribute Desc,Term Duration,On Line Page Number
2018,2018FA,21L.002,21L,002,21L.002,21L.002,21L,Literature,"Wstrn Lit: Shakespeare-Present","Foundations of Western Literature: From Shakespeare to the Present",N,3.00,0.00,9.00,12.00,,,CIH,"Communication Intensive HASS",,,,,"A broad survey of texts, literary, philosophical, and sociological, studied to trace the growth of secular humanism, the loss of a supernatural perspective upon human events, and changing conceptions of individual, social, and communal purpose. Stresses appreciation and analysis of texts that came to represent the common cultural possession of our time. Enrollment limited.",,,,,N,N,N,Y,N,"J. Buzard","J. Buzard",,"03/10/17 12:00 AM","05/04/17 12:12 AM",21L.002,HH,"HASS Humanities","Full Term Subject",http://student.mit.edu/catalog/m21La.html
2018,2018FA,21L.003,21L,003,21L.003,21L.003,21L,Literature,"Reading Fiction","Reading Fiction",N,3.00,0.00,9.00,12.00,,,CIH,"Communication Intensive HASS",,,,,"Introduces prose fiction, both stories and novels. Emphasizes historical context, narrative structure and close reading. Enrollment limited.",,,,,Y,Y,N,Y,N,"D. Thorburn",Staff,,"03/10/17 12:00 AM","05/04/17 12:12 AM",21L.003,HH,"HASS Humanities","Full Term Subject",http://student.mit.edu/catalog/m21La.html
2018,2018FA,21L.004,21L,004,21L.004,21L.004,21L,Literature,"Reading Poetry","Reading Poetry",N,3.00,0.00,9.00,12.00,,,CIH,"Communication Intensive HASS",,,,,"Emphasis on poetry in various forms (lyric, epic, and dramatic), chiefly in English-speaking countries. Syllabus usually includes works by Shakespeare, Milton, Donne, Keats, Dickinson, Frost, Eliot, Langston Hughes, Lowell, and Plath. Enrollment limited.",,,,,Y,Y,N,Y,N,"J. Terrones, S. Tapscott","M. Fuller, N. Jackson",,"03/13/17 12:00 AM","05/04/17 12:12 AM",21L.004,HH,"HASS Humanities","Full Term Subject",http://student.mit.edu/catalog/m21La.html
2018,2018FA,21L.005,21L,005,21L.005,21L.005,21L,Literature,"Introduction to Drama","Introduction to Drama",N,3.00,0.00,9.00,12.00,,,CIH,"Communication Intensive HASS",,,,,"A study of the history of theater art and practice from its origins to the modern period, including its roles in non-Western cultures. Special attention to the relationship between the literary and performative dimensions of drama, and the relationship between drama and its cultural context. Enrollment limited.",,,,,Y,Y,N,Y,N,"S. Alexandre","D. Henderson",,"03/10/17 12:00 AM","05/04/17 12:12 AM",21L.005,HA,"HASS Arts","Full Term Subject",http://student.mit.edu/catalog/m21La.html
2018,2018FA,21L.006,21L,006,21L.006,21L.006,21L,Literature,"American Literature","American Literature",N,3.00,0.00,9.00,12.00,,,CIH,"Communication Intensive HASS",,,,,"Studies the national literature of the United States since the early 19th century. Considers a range of texts - including, novels, essays, films, and electronic media - and their efforts to define the notion of American identity. Readings usually include works by such authors as Nathaniel Hawthorne, Henry David Thoreau, Frederick Douglass, Emily Dickinson, Flannery O'Connor, William Faulkner, Sherman Alexie, and Toni Morrison. Enrollment limited.",,,,,Y,Y,N,N,N,"W. Kelley","W. Kelley",,"03/10/17 12:00 AM","05/04/17 12:12 AM",21L.006,HH,"HASS Humanities","Full Term Subject",http://student.mit.edu/catalog/m21La.html
2018,2018FA,21L.007,21L,007,21L.007,21L.007,21L,Literature,"World Literatures","World Literatures",N,3.00,0.00,9.00,12.00,,,CIH,"Communication Intensive HASS",,,,,"Introduces students to a coherent set of textual and visual materials drawn from different geographical regions, languages, artistic genres, and historical periods.  The focus may vary but usually cuts across national boundaries. Includes non-English works read in translation and examines different kinds of writing, both fiction and nonfiction. Pays special attention to such issues as identity formation, cultural contact, exploration, and exile. Previously taught topics include contemporary writing from Africa and South Asia, the impact of the discovery of the New World, and Caribbean literature. Enrollment limited.",,,,,Y,N,N,Y,N,Staff,Staff,,"03/10/17 12:00 AM","05/04/17 12:12 AM",21L.007,HH,"HASS Humanities","Full Term Subject",http://student.mit.edu/catalog/m21La.html
2018,2017FA,21L.008,21L,008,24.912,21L.008J,21L,Literature,"Intro to Black Studies","Black Matters:  Introduction to Black Studies",N,3.00,0.00,9.00,12.00,,,CIH,"Communication Intensive HASS",,,,,"Interdisciplinary survey of people of African descent that draws on the overlapping approaches of history, literature, anthropology, legal studies, media studies, performance, linguistics, and creative writing. Connects the experiences of African-Americans and of other American minorities, focusing on social, political, and cultural histories, and on linguistic patterns. Includes lectures, discussions, workshops, and required field trips that involve minimal cost to students.","24.912J, 21H.106J, 21W.741J, WGS.190J#,#24.912J, 21H.106J, 21W.741J, WGS.190J",,,,Y,N,N,Y,N,"M. Degraff","M. Degraff",,"11/10/16 12:00 AM","05/04/17 12:12 AM",24.912,"HA,HH","Arts + Humanities","Full Term Subject",http://student.mit.edu/catalog/m21La.html
2018,2018FA,21L.009,21L,009,21L.009,21L.009,21L,Literature,Shakespeare,Shakespeare,N,3.00,0.00,9.00,12.00,,,CIH,"Communication Intensive HASS",,,,,"Focuses on the close reading of six to eight of Shakespeare plays, as well as their adaptation for stage and/or film.  Selected texts cover the range of genres in which Shakespeare wrote (i.e., history, comedy, tragedy, and romance). Special emphasis in some terms on performances and adaptions of Shakespearean drama around the world. Plays studied vary across sections and from term to term, and have recently included <I>Henry IV Part 1</I>, <I>Hamlet</I>, <I>A Midsummer Night's Dream</I>, <I>King Lear</I>, <I>Othello</I>, and <I>The Tempest</I>. Enrollment limited.",,,,,Y,Y,N,Y,N,"S. Raman","P. Donaldson",,"03/10/17 12:00 AM","05/04/17 12:12 AM",21L.009,HH,"HASS Humanities","Full Term Subject",http://student.mit.edu/catalog/m21La.html
2018,2017FA,21L.000,21L,000,21L.000,21L.000J,21L,Literature,"Writing About Literature","Writing About Literature",N,3.00,0.00,9.00,12.00,,,CIHW,"Communication Intensive Writing",,,,,"Intensive focus on the reading and writing skills used to analyze literary texts such as poems by Emily Dickinson, Shakespeare or Langston Hughes; short stories by Chekhov, Joyce, or Alice Walker; and a short novel by Melville or Toni Morrison. Designed not only to prepare students for further work in writing and literary and media study, but also to provide increased confidence and pleasure in their reading, writing, and analytical skills. Students write or revise essays weekly. Enrollment limited.","21W.041J#,#21W.041J",,,,Y,Y,N,N,N,"W. Kelley, I. Lipkowitz","W. Kelley, I. Lipkowitz",,"11/10/16 12:00 AM","05/04/17 12:12 AM",21L.000,HH,"HASS Humanities","Full Term Subject",http://student.mit.edu/catalog/m21La.html
2018,2018FA,21L.001,21L,001,21L.001,21L.001,21L,Literature,"Western Lit: Homer to Dante","Foundations of Western Literature: Homer to Dante",N,3.00,0.00,9.00,12.00,,,CIH,"Communication Intensive HASS",,,,,"Studies a broad range of texts essential to understanding the two great sources of Western conceptions of the world and humanity's place within it: the ancient world of Greece and Rome and the Judeo-Christian world that challenged and absorbed it. Readings vary but usually include works by Homer, Sophocles, Aristotle, Plato, Virgil, St. Augustine, and Dante. Enrollment limited.",,,,,Y,N,N,Y,N,"S. Frampton","S. Frampton",,"03/10/17 12:00 AM","05/04/17 12:12 AM",21L.001,HH,"HASS Humanities","Full Term Subject",http://student.mit.edu/catalog/m21La.html
