Academic Year,Effective Term Code,Subject Id,Subject Code,Subject Number,Source Subject Id,Print Subject Id,Department Code,Department Name,Subject Short Title,Subject Title,Is Variable Units,Lecture Units,Lab Units,Preparation Units,Total Units,Gir Attribute,Gir Attribute Desc,Comm Req Attribute,Comm Req Attribute Desc,Write Req Attribute,Write Req Attribute Desc,Supervisor Attribute Desc,Prerequisites,Subject Description,Joint Subjects,School Wide Electives,Meets With Subjects,Equivalent Subjects,Is Offered This Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Fall Instructors,Spring Instructors,Status Change,Last Activity Date,Warehouse Load Date,Master Subject Id,Hass Attribute,Hass Attribute Desc,Term Duration,On Line Page Number
2018,2018FA,21M.840,21M,840,21M.840,21M.840,21M,"Music and Theater Arts","Performance Media","Performance Media",N,4.00,0.00,8.00,12.00,,,,,,,,,"Integrates media and communication technologies in performing arts. Studio exercises provide a forum for experimentation. Contemporary and historical techniques for media integration examined through readings, viewing videos and short written essays. Technologies examined include digital imaging, composite and live feed digital video, and web-based performance. Engages the designer, director, choreographer, performer, visual artist or programmer in the practice of integrating media into live art events. Equipment is provided. Students taking graduate version complete additional assignments.",,,"21M.841#,#21M.841",,N,Y,N,N,N,"J. Higgason, J. Scheib","J. Higgason, J. Scheib",,"03/01/17 12:00 AM","05/04/17 12:12 AM",21M.840,HA,"HASS Arts","Full Term Subject",http://student.mit.edu/catalog/m21Mb.html
2018,2018FA,21M.841,21M,841,21M.841,21M.841,21M,"Music and Theater Arts","Performance Media","Performance Media",N,4.00,0.00,8.00,12.00,,,,,,,,,"Integrates media and communication technologies in performing arts. Studio exercises provide a forum for experimentation. Contemporary and historical techniques for media integration examined through readings, viewing videos and short written essays. Technologies examined include digital imaging, composite and live feed digital video, and web-based performance. Engages the designer, director, choreographer, performer, visual artist or programmer in the practice of integrating media into live art events. Equipment is provided. Students taking graduate version complete additional assignments.",,,"21M.840#,#21M.840",,N,Y,N,N,N,"J. Higgason, J. Scheib","J. Higgason, J. Scheib",,"03/01/17 12:00 AM","05/04/17 12:12 AM",21M.840,,,"Full Term Subject",http://student.mit.edu/catalog/m21Mb.html
2018,2018FA,21M.846,21M,846,21M.846,21M.846,21M,"Music and Theater Arts","Topics in Performance Studies","Topics in Performance Studies",N,3.00,0.00,9.00,12.00,,,,,,,,,"Multidisciplinary lecture/workshop engages students in a variety of approaches to the study and practice of performance as an area of aesthetic and social interaction. Special attention paid to the use of diverse media in performance. Interdisciplinary approaches to study encourage students to seek out material histories of performance and  practice. May be repeated for credit if topics differ.",,,"21M.847#,#21M.847",,Y,N,N,Y,N,,,,"03/01/17 12:00 AM","05/04/17 12:12 AM",21M.846,HA,"HASS Arts","Full Term Subject",http://student.mit.edu/catalog/m21Mb.html
2018,2018FA,21M.847,21M,847,21M.847,21M.847,21M,"Music and Theater Arts","Topics in Performance Studies","Topics in Performance Studies",N,3.00,0.00,9.00,12.00,,,,,,,,,"See description under 21M.846.  Assignments differ.",,,"21M.846#,#21M.846",,Y,N,N,Y,N,,,,"03/01/17 12:00 AM","05/04/17 12:12 AM",21M.846,,,"Full Term Subject",http://student.mit.edu/catalog/m21Mb.html
2018,2017FA,21M.851,21M,851,21M.851,21M.851,21M,"Music and Theater Arts","Independent Study: Perf&Design","Independent Study in Performance and Design",Y,0.00,0.00,0.00,0.00,,,,,,,"Independent Study","Permission of instructor#,#, , ,","Multidisciplinary independent study provides opportunity for individual practica in the performing arts.  While opportunities may include directed theoretical research and practice in production and performance with permanent and visiting faculty, students are encouraged to propose independent programs of study to a member of the theater arts faculty. Permission of supervising faculty member required.",,,,,Y,Y,Y,Y,N,"Theater Arts Staff","Theater Arts Staff",,"11/10/16 12:00 AM","05/04/17 12:12 AM",21M.851,,,"Second Half Term Subject",http://student.mit.edu/catalog/m21Mb.html
2018,2016FA,21M.303,21M,303,21M.303,21M.303,21M,"Music and Theater Arts","Writing in Tonal Forms I","Writing in Tonal Forms I",N,3.00,1.00,8.00,12.00,,,,,,,,"21M.302#,#21M.302","Written and analytic exercises based on 18th- and 19th-century small forms and harmonic practice found in music such as the chorale preludes of Bach; minuets and trios of Haydn, Mozart, and Beethoven; and the songs and character pieces of Schubert and Schumann. Musicianship laboratory is required. Limited to 20.",,,,,Y,Y,N,Y,N,"C. Shadle","C. Shadle",,"11/10/16 12:00 AM","05/04/17 12:12 AM",21M.303,HA,"HASS Arts","Full Term Subject",http://student.mit.edu/catalog/m21Ma.html
2018,2018FA,21M.301,21M,301,21M.301,21M.301,21M,"Music and Theater Arts","Harmony and Counterpoint I","Harmony and Counterpoint I",N,3.00,3.00,6.00,12.00,,,,,,,,,"Covers basic writing skills in music of the common-practice period (Bach to Brahms).  Regular written assignments lead to the composition of short pieces.  Analyzes representative works from the literature, keyboard laboratory, and sight-singing choir. Students should have experience reading music. Enrollment limited.",,,,,Y,Y,N,Y,N,"E. Ruehr, W. Cutter, K. Salfelder","M. Harvey, E. Ruehr",,"04/20/17 12:00 AM","05/04/17 12:12 AM",21M.301,HA,"HASS Arts","Full Term Subject",http://student.mit.edu/catalog/m21Ma.html
2018,2018FA,21M.299,21M,299,21M.299,21M.299,21M,"Music and Theater Arts","World, Traditionl, & Pop Music","Studies in World, Traditional, and Popular Music",N,3.00,0.00,9.00,12.00,,,,,,,,"21M.030 or permission of instructor#,#21M.030 , , , ,","Studies of selected topics in ethnomusicology (the study of music in culture).  Topics vary. Examples include music and crisis, fieldwork methodologies, Asian classical traditions, Senegalese Mbalax, Hindustani Khyal, Brazilian Samba, or Duke Ellington.  May be repeated for credit with permission of instructor.",,,,,Y,Y,N,N,N,"T. Neff","T. Neff",,"03/01/17 12:00 AM","05/04/17 12:12 AM",21M.299,HA,"HASS Arts","Full Term Subject",http://student.mit.edu/catalog/m21Ma.html
2018,2018FA,21M.235,21M,235,21M.235,21M.235,21M,"Music and Theater Arts","Monteverdi to Mozart","Monteverdi to Mozart: 1600-1800",N,3.00,0.00,9.00,12.00,,,CIM,"Communication Intensive Major",,,,"21M.301 or permission of instructor#,#21M.301 , , , ,","Surveys Baroque and Classical genres: opera, cantata, oratorio, sonata, concerto, quartet and symphony. Includes the composers Monteverdi, Schutz, Purcell, Vivaldi, Bach, Handel, Haydn and Mozart. Bases written essays, projects and oral presentations on live performances as well as listening and reading assignments. Basic music score-reading ability required.",,,,,Y,N,N,Y,N,"T. Neff","T. Neff",,"03/01/17 12:00 AM","05/04/17 12:12 AM",21M.235,HA,"HASS Arts","Full Term Subject",http://student.mit.edu/catalog/m21Ma.html
2018,2018FA,21M.250,21M,250,21M.250,21M.250,21M,"Music and Theater Arts","Beethoven to Mahler","Beethoven to Mahler: 1800-1910",N,3.00,0.00,9.00,12.00,,,,,,,,"21M.301 or permission of instructor#,#21M.301 , , , ,","Surveys Romantic genres including Lied/song, choral music, opera, piano sonata/character cycle, concerto, and symphony/symphonic poem. Includes the composers Beethoven, Schubert, Berlioz, Chopin, Brahms, Wagner, Verdi, Tchaikovsky, and Mahler.  Bases written essays and oral presentations on live performances as well as listening and reading assignments.  Basic score-reading ability recommended.",,,,,Y,Y,N,N,N,"T. Neff","T. Neff",,"03/01/17 12:00 AM","05/04/17 12:12 AM",21M.250,HA,"HASS Arts","Full Term Subject",http://student.mit.edu/catalog/m21Ma.html
2018,2018FA,21M.260,21M,260,21M.260,21M.260,21M,"Music and Theater Arts","Stravinsky to the Present","Stravinsky to the Present",N,3.00,0.00,9.00,12.00,,,CIM,"Communication Intensive Major",,,,"21M.301 or permission of instructor#,#21M.301 , , , ,","Surveys musical works drawn from many genres, representing stylistic movements that have transformed classical music over the past hundred years. Focal topics include musical modernism, serialism, neoclassicism, nationalism and ideology, minimalism, and aleatoric and noise composition experiments. Discusses electronic and computer music, and new media and the postmodern present. Begins with Stravinsky's early ballets and ends with music by current MIT composers and other important figures active today. Ability to read music required.  Instruction and practice in oral and written communication provided.",,,,,Y,Y,N,N,N,"M. Marks","M. Marks",,"03/01/17 12:00 AM","05/04/17 12:12 AM",21M.260,HA,"HASS Arts","Full Term Subject",http://student.mit.edu/catalog/m21Ma.html
2018,2017FA,21M.269,21M,269,21M.269,21M.269,21M,"Music and Theater Arts","Studies: Western Music History","Studies in Western Music History",N,3.00,0.00,9.00,12.00,,,,,,,,"21M.301 or permission of instructor#,#21M.301 , , , ,","Explores particular questions or repertories in Western classical music. Requires individual participation, presentations, and writing. Topics vary each year. Examples include women in music, musical borrowing, the Ars Nova, Schumann, or music after 1990. May be repeated for credit with permission of instructor.",,,,,Y,N,N,Y,N,Staff,Staff,,"11/10/16 12:00 AM","05/04/17 12:12 AM",21M.269,HA,"HASS Arts","Full Term Subject",http://student.mit.edu/catalog/m21Ma.html
2018,2017FA,21M.271,21M,271,21M.271,21M.271,21M,"Music and Theater Arts","Symphony and Concerto","Symphony and Concerto",N,3.00,0.00,9.00,12.00,,,,,,,,,"Explores the style, form, and history of approximately two dozen pieces of canonical symphonic repertoire. Students write short reviews of musicological articles on the rich cultural history of selected works and complete one project about the state of classical music in contemporary society. Basic score-reading ability required.",,,,,Y,N,N,Y,N,"E. Pollock","E. Pollock",,"11/10/16 12:00 AM","05/04/17 12:12 AM",21M.271,HA,"HASS Arts","Full Term Subject",http://student.mit.edu/catalog/m21Ma.html
2018,2017FA,21M.273,21M,273,21M.273,21M.273,21M,"Music and Theater Arts",Opera,Opera,N,3.00,0.00,9.00,12.00,,,,,,,,,"Focuses on the different styles and dramatic approaches exhibited by a range of operas.  Central questions include the process of adaptation from source material, the conventions of different operatic eras, and how the works are staged in contrasting productions. Basic  score-reading ability required.",,,,,Y,Y,N,N,N,"E. Pollock","E. Pollock",,"11/10/16 12:00 AM","05/04/17 12:12 AM",21M.273,HA,"HASS Arts","Full Term Subject",http://student.mit.edu/catalog/m21Ma.html
2018,2018FA,21M.283,21M,283,21M.283,21M.283,21M,"Music and Theater Arts",Musicals,"The Musical",N,3.00,0.00,9.00,12.00,,,,,,,,"One subject in film, music, or theater; or permission of instructor#,#, , , ,, ,, , ,, , , , ,","Covers Broadway works and  Hollywood films in depth. Proceeds chronologically, exploring three stage musicals and three films at a time, within four historical categories: breakthrough musicals of the 1920s and '30s;  classic "book musicals" of the '40s and '50s; modernist and concept musicals of the '60s and '70s; and post modern and cutting-edge works of the '80s and '90s. Attention given to the role of music in relation to script, characterization, and dramatic structure. Final papers involve comparison of one stage and one film work, selected in consultation with the instructor. Oral presentations required and in-class performances encouraged.",,,,,Y,N,N,Y,N,"M. Marks","M. Marks",,"03/07/17 12:00 AM","05/04/17 12:12 AM",21M.283,HA,"HASS Arts","Full Term Subject",http://student.mit.edu/catalog/m21Ma.html
2018,2018FA,21M.284,21M,284,21M.284,21M.284,21M,"Music and Theater Arts","Film Music","Film Music",N,3.00,0.00,9.00,12.00,,,,,,,,,"Surveys styles and dramatic functions of music for silent films of the 1910s-20s, and music in sound films from the 1930s to the present. Close attention given to landmark scores by American and European composers, including Korngold, Steiner, Rozsa, Prokofiev, Copland, Herrmann, Rota, Morricone, and Williams. Subsidiary topics include new trends in contemporary film-scoring, pop scores, the impact of electronics, and specialized genres (e.g., animation). Students taking the graduate version complete different assignments. Some background in the study of film and/or music is expected.",,,"CMS.925#,#CMS.925",,Y,Y,N,N,N,"M. Marks","M. Marks",,"03/01/17 12:00 AM","05/04/17 12:12 AM",21M.284,HA,"HASS Arts","Full Term Subject",http://student.mit.edu/catalog/m21Ma.html
