Academic Year,Effective Term Code,Subject Id,Subject Code,Subject Number,Source Subject Id,Print Subject Id,Department Code,Department Name,Subject Short Title,Subject Title,Is Variable Units,Lecture Units,Lab Units,Preparation Units,Total Units,Gir Attribute,Gir Attribute Desc,Comm Req Attribute,Comm Req Attribute Desc,Write Req Attribute,Write Req Attribute Desc,Supervisor Attribute Desc,Prerequisites,Subject Description,Joint Subjects,School Wide Electives,Meets With Subjects,Equivalent Subjects,Is Offered This Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Fall Instructors,Spring Instructors,Status Change,Last Activity Date,Warehouse Load Date,Master Subject Id,Hass Attribute,Hass Attribute Desc,Term Duration,On Line Page Number
2018,2018FA,AS.312,AS,312,AS.312,AS.312,AS,"Aerospace Studies (ROTC)","Leadership Laboratory","Leadership Laboratory",N,0.00,2.00,4.00,6.00,,,,,,,,"AS.311 or permission of instructor; [AS.302]#,#AS.311 , , , ,, [AS.302]","Consists of activities classified as advanced leadership experiences that involve the planning and controlling of military activities of the cadet corps and the preparation and presentation of briefings and other oral and written communications. Also includes interviews, guidance, and information to increase the understanding, motivation, and performance of other cadets. AS.312 is a continuation of AS.311.",,,,,Y,N,N,Y,N,"P. Dela Cruz","P. Dela Cruz",,"03/13/17 12:00 AM","05/04/17 12:12 AM",AS.312,,,"Full Term Subject",http://student.mit.edu/catalog/mASa.html
2018,2017FA,AS.401,AS,401,AS.401,AS.401,AS,"Aerospace Studies (ROTC)","National Security Affairs","National Security Affairs/Preparation for Active Duty",N,3.00,0.00,9.00,12.00,,,,,,,,"AS.302 or permission of instructor; [AS.411]#,#AS.302 , , , ,, [AS.411]","Examines the national security process, regional studies, advanced leadership ethics, and Air Force doctrine. Special topics of interest focus on the military as a profession, officership, military justice, civilian control of the military, preparation for active duty, and current issues affecting military professionalism. Within this structure, continued emphasis on refining communication skills. AS.402 is a continuation of AS.401.",,,,,Y,Y,N,N,N,"S. Ott","S. Ott",,"11/10/16 12:00 AM","05/04/17 12:12 AM",AS.401,,,"Full Term Subject",http://student.mit.edu/catalog/mASa.html
2018,2018FA,AS.402,AS,402,AS.402,AS.402,AS,"Aerospace Studies (ROTC)","National Security Affairs","National Security Affairs/Preparation for Active Duty",N,3.00,0.00,3.00,6.00,,,,,,,,"AS.401 or permission of instructor; [AS.412]#,#AS.401 , , , ,, [AS.412]","Examines the national security process, regional studies, advanced leadership ethics, and Air Force doctrine. Special topics of interest focus on the military as a profession, officership, military justice, civilian control of the military, preparation for active duty, and current issues affecting military professionalism. Within this structure, continued emphasis on refining communication skills. AS.402 is a continuation of AS.401.",,,,,Y,N,N,Y,N,"S. Ott","S. Ott",,"03/13/17 12:00 AM","05/04/17 12:12 AM",AS.402,,,"Full Term Subject",http://student.mit.edu/catalog/mASa.html
2018,2017FA,AS.411,AS,411,AS.411,AS.411,AS,"Aerospace Studies (ROTC)","Leadership Laboratory","Leadership Laboratory",N,0.00,2.00,4.00,6.00,,,,,,,,"AS.312 or permission of instructor; [AS.401]#,#AS.312 , , , ,, [AS.401]","Consists of activities classified as advanced leadership experiences that involve the planning and controlling of military activities of the cadet corps, and the preparation and presentation of briefings and other oral and written communications.  Also includes interviews, guidance, and information to increase the understanding, motivation, and performance of other cadets. AS.412 is a continuation of AS.411.",,,,,Y,Y,N,N,N,"P. Dela Cruz","P. Dela Cruz",,"11/10/16 12:00 AM","05/04/17 12:12 AM",AS.411,,,"Full Term Subject",http://student.mit.edu/catalog/mASa.html
2018,2014FA,AS.412,AS,412,AS.412,AS.412,AS,"Aerospace Studies (ROTC)","Leadership Laboratory","Leadership Laboratory",N,0.00,2.00,4.00,6.00,,,,,,,,"AS.411 or permission of instructor; [AS.402]#,#AS.411 , , , ,, [AS.402]","Consists of activities classified as advanced leadership experiences that involve the planning and controlling of military activities of the cadet corps, and the preparation and presentation of briefings and other oral and written communications.  Also includes interviews, guidance, and information to increase the understanding, motivation, and performance of other cadets. AS.412 is a continuation of AS.411.",,,,,Y,N,N,Y,N,"M. Parry","M. Parry",,"11/10/16 12:00 AM","05/04/17 12:12 AM",AS.412,,,"Full Term Subject",http://student.mit.edu/catalog/mASa.html
2018,2017FA,AS.511,AS,511,AS.511,AS.511,AS,"Aerospace Studies (ROTC)","Leadership Laboratory","Leadership Laboratory",N,0.00,2.00,4.00,6.00,,,,,,,,"AS.412 or permission of instructor#,#AS.412 , , , ,","Consists of activities classified as advanced leadership experiences to continue developing critical leadership, managerial and communication skills along with maintaining an active, physical lifestyle needed in today's Air Force. AS.512 is a continuation of AS.511.",,,,,N,Y,N,N,N,"P. Dela Cruz","P. Dela Cruz",,"11/10/16 12:00 AM","05/04/17 12:12 AM",AS.511,,,"Full Term Subject",http://student.mit.edu/catalog/mASa.html
2018,2017FA,AS.512,AS,512,AS.512,AS.512,AS,"Aerospace Studies (ROTC)","Leadership Laboratory","Leadership Laboratory",N,0.00,2.00,4.00,6.00,,,,,,,,"AS.511 or permission of instructor#,#AS.511 , , , ,","Consists of activities classified as advanced leadership experiences to continue developing critical leadership, managerial and communication skills along with maintaining an active, physical lifestyle needed in today's Air Force. AS.512 is a continuation of AS.511.",,,,,N,N,N,Y,N,"P. Dela Cruz","P. Dela Cruz",,"11/10/16 12:00 AM","05/04/17 12:12 AM",AS.512,,,"Full Term Subject",http://student.mit.edu/catalog/mASa.html
2018,2017FA,AS.812,AS,812,AS.812,AS.812,AS,"Aerospace Studies (ROTC)","Leadership Laboratory","Leadership Laboratory",N,0.00,2.00,4.00,6.00,,,,,,,,"Permission of instructor#,#, , ,","Cadets develop critical leadership, managerial and communication skills while maintaining an active, physical lifestyle needed in today's Air Force. Consists of activities classified as advanced leadership experiences that involve mentoring the cadet corps, special projects, and event planning.",,,,,Y,N,N,Y,N,"P. Dela Cruz","P. Dela Cruz",,"11/10/16 12:00 AM","05/04/17 12:12 AM",AS.812,,,"Full Term Subject",http://student.mit.edu/catalog/mASa.html
2018,2017FA,AS.S811,AS,S811,AS.S811,AS.S811,AS,"Aerospace Studies (ROTC)","Spec Lab Subj: Aerospace Stud","Special Laboratory Subject: Aerospace Studies",Y,0.00,0.00,0.00,0.00,,,,,,,,,"Laboratory consisting of material not offered in regularly scheduled subjects.",,,,,Y,Y,N,N,N,"P. Dela Cruz","P. Dela Cruz",,"11/10/16 12:00 AM","05/04/17 12:12 AM",AS.S811,,,"Full Term Subject",http://student.mit.edu/catalog/mASa.html
2018,2017FA,AS.111,AS,111,AS.111,AS.111,AS,"Aerospace Studies (ROTC)","Leadership Laboratory","Leadership Laboratory",N,0.00,2.00,2.00,4.00,,,,,,,,"[AS.101]#,#[AS.101]","Includes a study of Air Force customs and courtesies, drill and ceremonies, and military commands. Also includes studying the environment of an Air Force officer and learning about areas of opportunity available to commissioned officers, as well as interviews, guidance, and information to increase the understanding, motivation, and performance of other cadets. AS.112 is a continuation of AS.111.",,,,,Y,Y,N,N,N,"P. Dela Cruz","P. Dela Cruz",,"11/10/16 12:00 AM","05/04/17 12:12 AM",AS.111,,,"Full Term Subject",http://student.mit.edu/catalog/mASa.html
