Academic Year,Effective Term Code,Subject Id,Subject Code,Subject Number,Source Subject Id,Print Subject Id,Department Code,Department Name,Subject Short Title,Subject Title,Is Variable Units,Lecture Units,Lab Units,Preparation Units,Total Units,Gir Attribute,Gir Attribute Desc,Comm Req Attribute,Comm Req Attribute Desc,Write Req Attribute,Write Req Attribute Desc,Supervisor Attribute Desc,Prerequisites,Subject Description,Joint Subjects,School Wide Electives,Meets With Subjects,Equivalent Subjects,Is Offered This Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Fall Instructors,Spring Instructors,Status Change,Last Activity Date,Warehouse Load Date,Master Subject Id,Hass Attribute,Hass Attribute Desc,Term Duration,On Line Page Number
2018,2015FA,CC.181A,CC,181A,CC.181A,CC.181A,CON,Concourse,Calculus,Calculus,N,5.00,0.00,7.00,12.00,CAL1,"Calculus I",,,,,,"Knowledge of differentiation and elememtary integration; [CC.A10 or CC.010]#,#, , , , , ,, [CC.A10 ],[ CC.010]","Equivalent to 18.01A; see 18.01A for description. Limited to students in Concourse.",,,,"18.01, 18.01A, ES.181A#,#18.01, 18.01A, ES.181A",Y,Y,N,N,N,"R. Winters","R. Winters",,"11/10/16 12:00 AM","05/04/17 12:12 AM",CC.181A,,,"First Half Term Subject",http://student.mit.edu/catalog/mCCa.html
2018,2016FA,CC.182A,CC,182A,CC.182A,CC.182A,CON,Concourse,Calculus,Calculus,N,5.00,0.00,7.00,12.00,CAL2,"Calculus II",,,,,,"GIR:CAL1; [CC.A10, CC.010, or CC.011]#,#GIR:CAL1, [CC.A10],[ CC.010],[ ],[ CC.011]","Equivalent to 18.02A; see 18.02A for description. Limited to students in Concourse.",,,,"18.02, 18.02A, ES.182A#,#18.02, 18.02A, ES.182A",Y,Y,Y,N,N,"R. Winters","R. Winters",,"11/10/16 12:00 AM","05/04/17 12:12 AM",CC.182A,,,"Second Half Term Subject",http://student.mit.edu/catalog/mCCa.html
2018,2014FA,CC.200,CC,200,CC.200,CC.200,CON,Concourse,"Concourse Undergrad Teaching","Concourse Program Undergraduate Teaching",Y,0.00,0.00,0.00,0.00,,,,,,,,"Permission of instructor#,#, , ,","Tutoring, leadership of study and review groups, seminars and recitations in the Concourse Program, under the supervision of senior Concourse staff. Limited to students in Concourse.",,,,,Y,Y,Y,Y,N,Staff,Staff,,"11/10/16 12:00 AM","05/04/17 12:12 AM",CC.200,,,"Full Term Subject",http://student.mit.edu/catalog/mCCa.html
2018,2017FA,CC.210,CC,210,CC.210,CC.210,CON,Concourse,"Independent Study","Independent Study",Y,0.00,0.00,0.00,0.00,,,,,,,"Independent Study","Permission of instructor#,#, , ,","Opportunity for independent study under regular supervision by a staff member. Projects require prior approval, as well as a written proposal and a final report. Limited to students in Concourse.",,,,,Y,Y,Y,Y,N,Staff,Staff,,"11/10/16 12:00 AM","05/04/17 12:12 AM",CC.210,,,"Full Term Subject",http://student.mit.edu/catalog/mCCa.html
2018,2017FA,CC.220,CC,220,CC.220,CC.220,CON,Concourse,"Independent Study","Independent Study",Y,0.00,0.00,0.00,0.00,,,,,,,,,"Opportunity for independent study under regular supervision by a staff member. Projects require prior approval, as well as a written proposal and a final report. Limited to students in Concourse.",,,,,Y,N,N,Y,N,Staff,Staff,,"11/10/16 12:00 AM","05/04/17 12:12 AM",CC.220,,,"Full Term Subject",http://student.mit.edu/catalog/mCCa.html
2018,2016FA,CC.5111,CC,5111,CC.5111,CC.5111,CON,Concourse,"Principles of Chemical Science","Principles of Chemical Science",N,5.00,0.00,7.00,12.00,CHEM,Chemistry,,,,,,"[CC.A10 or CC.010]#,#[CC.A10 ],[ CC.010]","Equivalent to 5.111; see 5.111 for description. Limited to students in Concourse.",,,,"3.091, 5.111, 5.112, ES.3091, ES.5111, ES.5112#,#3.091, 5.111, 5.112, ES.3091, ES.5111, ES.5112",Y,Y,N,N,N,"E. Taylor","E. Taylor",,"11/10/16 12:00 AM","05/04/17 12:12 AM",CC.5111,,,"Full Term Subject",http://student.mit.edu/catalog/mCCa.html
2018,2016FA,CC.512,CC,512,CC.512,CC.512,CON,Concourse,"Organic Chemistry I","Organic Chemistry I",N,5.00,0.00,7.00,12.00,REST,"Rest Elec in Sci & Tech",,,,,,"GIR:CHEM [CC.A10, CC.010, or CC.011]#,#GIR:CHEM [CC.A10],[ CC.010],[ ],[ CC.011]","Equivalent to 5.12; See 5.12 for description. Limited to students in Concourse.",,,,"5.12#,#5.12",Y,N,N,Y,N,"E. Taylor","E. Taylor",,"11/10/16 12:00 AM","05/04/17 12:12 AM",CC.512,,,"Full Term Subject",http://student.mit.edu/catalog/mCCa.html
2018,2015FA,CC.801,CC,801,CC.801,CC.801,CON,Concourse,"Physics I","Physics I",N,5.00,0.00,7.00,12.00,PHY1,"Physics I",,,,,,"[CC.A10 or CC.010]#,#[CC.A10 ],[ CC.010]","Equivalent to 8.01; see 8.01 for description. Limited to students in Concourse.",,,"CC.8012#,#CC.8012","8.01, 8.011, 8.012, 8.01L, CC.8012, ES.801, ES.8012#,#8.01, 8.011, 8.012, 8.01L, CC.8012, ES.801, ES.8012",Y,Y,N,N,N,"J. Bloomfield","J. Bloomfield",,"11/10/16 12:00 AM","05/04/17 12:12 AM",CC.801,,,"Full Term Subject",http://student.mit.edu/catalog/mCCa.html
2018,2015FA,CC.8012,CC,8012,CC.8012,CC.8012,CON,Concourse,"Physics I","Physics I",N,5.00,0.00,7.00,12.00,PHY1,"Physics I",,,,,,"[CC.A10 or CC.010]#,#[CC.A10 ],[ CC.010]","Equivalent to 8.012; see 8.012 for description. Limited to students in Concourse.",,,"CC.801#,#CC.801","8.01, 8.011, 8.012, 8.01L, CC.801, ES.801, ES.8012#,#8.01, 8.011, 8.012, 8.01L, CC.801, ES.801, ES.8012",Y,Y,N,N,N,"J. Bloomfield","J. Bloomfield",,"11/10/16 12:00 AM","05/04/17 12:12 AM",CC.801,,,"Full Term Subject",http://student.mit.edu/catalog/mCCa.html
2018,2015FA,CC.802,CC,802,CC.802,CC.802,CON,Concourse,"Physics II","Physics II",N,5.00,0.00,7.00,12.00,PHY2,"Physics II",,,,,,"GIR:PHY1, GIR:CAL1; [CC.A10, CC.010, or CC.011]#,#GIR:PHY1, GIR:CAL1, [CC.A10],[ CC.010],[ ],[ CC.011]","Equivalent to 8.02; see 8.02 for description. Limited to students in Concourse.",,,"CC.8022#,#CC.8022","8.02, 8.021, 8.022, CC.8022, ES.802, ES.8022#,#8.02, 8.021, 8.022, CC.8022, ES.802, ES.8022",Y,N,N,Y,N,"J. Bloomfield","J. Bloomfield",,"11/10/16 12:00 AM","05/04/17 12:12 AM",CC.8022,,,"Full Term Subject",http://student.mit.edu/catalog/mCCa.html
