Academic Year,Effective Term Code,Subject Id,Subject Code,Subject Number,Source Subject Id,Print Subject Id,Department Code,Department Name,Subject Short Title,Subject Title,Is Variable Units,Lecture Units,Lab Units,Preparation Units,Total Units,Gir Attribute,Gir Attribute Desc,Comm Req Attribute,Comm Req Attribute Desc,Write Req Attribute,Write Req Attribute Desc,Supervisor Attribute Desc,Prerequisites,Subject Description,Joint Subjects,School Wide Electives,Meets With Subjects,Equivalent Subjects,Is Offered This Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Fall Instructors,Spring Instructors,Status Change,Last Activity Date,Warehouse Load Date,Master Subject Id,Hass Attribute,Hass Attribute Desc,Term Duration,On Line Page Number
2018,2015FA,CMS.301,CMS,301,CMS.301,CMS.301,CMS,"Comparative Media Studies","Intro Game Design Methods","Introduction to Game Design Methods",N,5.00,0.00,7.00,12.00,,,,,,,,,"Provides an introduction to the process of designing games and playful experiences. Familiarizes students with concepts, methods, techniques and tools used in the design of a wide variety of games. Focuses on aspects of the process such as rapid prototyping, play testing, and design iteration using a player-centered approach. Students work in project groups where they engage with a series of confined exercises, practice communicating design ideas, and discuss their own and others work in a constructive manner. No prior programming experience required. Limited to 15.",,,,,Y,N,N,Y,N,"M. Jakobsson, S. Verrilli","M. Jakobsson, S. Verrilli",,"11/10/16 12:00 AM","05/04/17 12:12 AM",CMS.301,HA,"HASS Arts","Full Term Subject",http://student.mit.edu/catalog/mCMSa.html
2018,2018FA,CMS.307,CMS,307,CMS.307,CMS.307,CMS,"Comparative Media Studies","Critical Worldbuilding","Critical Worldbuilding",N,3.00,3.00,6.00,12.00,,,,,,,,,"Studies the design and analysis of invented (or constructed) worlds for narrative media, such as television, films, comics, and literary texts.  Provides the practical, historical and critical tools with which to understand the function and structure of imagined worlds.  Examines world-building strategies in the various media and genres in order to develop a critical and creative repertoire.  Participants create their own invented worlds. Students taking graduate version complete additional assignments. Limited to 13.",,,"CMS.807#,#CMS.807",,N,Y,N,N,N,"J. Diaz","J. Diaz",,"03/13/17 12:00 AM","05/04/17 12:12 AM",CMS.307,HA,"HASS Arts","Full Term Subject",http://student.mit.edu/catalog/mCMSa.html
2018,2018FA,CMS.308,CMS,308,CMS.308,CMS.308,CMS,"Comparative Media Studies","Visual Story: Graphic Novel","The Visual Story: Graphic Novel, Type to Tablet",N,3.00,0.00,9.00,12.00,,,,,,,,,"Focuses on the interactions between graphic stories and media technologies from the rotary press of the late 19th century to contemporary touch screens, exploring the changing relations among narrative expression, reader experience and media form. Working with examples from Pulitzer's Yellow Kid and McKay's Little Nemo, through the classic comics (from DC superheroes to EC horror) and graphic novels, to interactive and non-linear texts (Cognitos Operation Ajax), examines such elements as graphic design, interface, and form as well as the circulation and economies of these various media-based texts. Students taking graduate version complete additional assignments.",,,"CMS.808#,#CMS.808",,Y,N,N,Y,N,"J. Paradis","J. Paradis",,"03/20/17 12:00 AM","05/04/17 12:12 AM",CMS.308,HA,"HASS Arts","Full Term Subject",http://student.mit.edu/catalog/mCMSa.html
2018,2017FA,CMS.309,CMS,309,21W.763,CMS.309J,CMS,"Comparative Media Studies","Modern Science Fiction","Transmedia Storytelling: Modern Science Fiction",N,3.00,2.00,7.00,12.00,,,,,,,,,"Explores transmedia storytelling by investigating how science fiction stories are told across different media, such as the short story, the screenplay, moving image, and games. Students read and write critical essays and collaborate to produce their own work of science fiction in a roundtable workshop environment. Students taking graduate version complete additional assignments.","21W.763J#,#21W.763J",,"CMS.809#,#CMS.809",,Y,Y,N,N,N,"H. Hendershot","H. Hendershot",,"11/10/16 12:00 AM","05/04/17 12:12 AM",21W.763,HA,"HASS Arts","Full Term Subject",http://student.mit.edu/catalog/mCMSa.html
2018,2016FA,CMS.311,CMS,311,21G.055,CMS.311J,CMS,"Comparative Media Studies","Media in Weimar & Nazi Germany","Media in Weimar and Nazi Germany",N,2.00,2.00,8.00,12.00,,,CIH,"Communication Intensive HASS",,,,,"Debates over national and media identity in Weimar and Nazi Germany. Production and use of media under extreme political and social conditions with a focus on films (such as <I>Nosferatu, Berlin, M, </i>and <I>Triumph des Willens</i>) and other media. Media approached as both texts and systems. Considers the legacy of the period, in terms of stylistic influence (e.g. film noir), techniques of persuasion, and media's relationship to social and economic conditions. Taught in English. Enrollment limited.","21G.055J#,#21G.055J",,,,Y,N,N,Y,N,"W. Uricchio","W. Uricchio",,"11/10/16 12:00 AM","05/04/17 12:12 AM",21G.055,HH,"HASS Humanities","Full Term Subject",http://student.mit.edu/catalog/mCMSa.html
2018,2012FA,CMS.994,CMS,994,CMS.994,CMS.994,CMS,"Comparative Media Studies","Independent Study","Independent Study",Y,0.00,0.00,0.00,0.00,,,,,,,"Independent Study","Permission of instructor#,#, , ,","Opportunity for individual research in comparative media studies. Registration subject to prior arrangement for subject matter and supervision by a faculty member.",,,,,Y,Y,Y,Y,Y,Staff,Staff,,"11/10/16 12:00 AM","05/04/17 12:12 AM",CMS.994,,,"Full Term Subject",http://student.mit.edu/catalog/mCMSa.html
2018,2016FA,CMS.995,CMS,995,CMS.995,CMS.995,CMS,"Comparative Media Studies","Independent Study","Independent Study",Y,0.00,0.00,0.00,0.00,,,,,,,"Independent Study","Permission of instructor#,#, , ,","Opportunity for individual research in comparative media studies. Registration subject to prior arrangement for subject matter and supervision by a faculty member.",,,,,Y,Y,Y,Y,Y,Staff,Staff,,"11/10/16 12:00 AM","05/04/17 12:12 AM",CMS.995,,,"Full Term Subject",http://student.mit.edu/catalog/mCMSa.html
2018,2017FA,CMS.S60,CMS,S60,CMS.S60,CMS.S60,CMS,"Comparative Media Studies","Special Subject: CMS","Special Subject: Comparative Media Studies",Y,0.00,0.00,0.00,0.00,,,,,,,,"Permission of instructor#,#, , ,","Seminar or lecture on a topic that is not covered in the regular curriculum.",,,,,Y,N,Y,Y,N,"W. Uricchio, S. Rodriguez","W. Uricchio, S. Rodriguez",,"11/10/16 12:00 AM","05/04/17 12:12 AM",CMS.S60,,,"Full Term Subject",http://student.mit.edu/catalog/mCMSa.html
2018,2018FA,CMS.915,CMS,915,CMS.915,CMS.915,CMS,"Comparative Media Studies","Understanding Television","Understanding Television",N,3.00,0.00,9.00,12.00,,,,,,,,"Permission of instructor#,#, , ,","A cultural approach to television's evolution as a technology and system of representation. Considers television as a system of storytelling and mythmaking, and as a cultural practice studied from anthropological, literary, and cinematic perspectives. Focuses on prime-time commercial broadcasting, the medium's technological and economic history, and theoretical perspectives. Considerable television viewing and readings in media theory and cultural interpretation are required. Previously taught topics include American Television: A Cultural History. Students taking graduate version complete additional assignments.",,,"21L.432#,#21L.432",,N,N,N,Y,N,"D. Thorburn","D. Thorburn",,"03/16/17 12:00 AM","05/04/17 12:12 AM",21L.432,,,"Full Term Subject",http://student.mit.edu/catalog/mCMSa.html
2018,2018FA,CMS.920,CMS,920,CMS.920,CMS.920,CMS,"Comparative Media Studies","Popular Narrative","Popular Culture and Narrative",N,3.00,0.00,9.00,12.00,,,,,,,,"Permission of instructor#,#, , ,","Examines relationships between popular culture and art, focusing on problems of evaluation and audience, and the uses of different media within a broader social context. Typically treats a range of narrative and dramatic works as well as films. Previously taught topics include Elements of Style; Gender, Sexuality and Popular Narrative. Students taking graduate version complete additional assignments. Approved for credit in Women's and Gender Studies when content meets the requirements for subjects in that program. May be repeated for credit with permission of instructor.",,,"21L.430#,#21L.430",,Y,N,N,Y,N,,,,"03/13/17 12:00 AM","05/04/17 12:12 AM",21L.430,,,"Full Term Subject",http://student.mit.edu/catalog/mCMSa.html
2018,2017FA,CMS.922,CMS,922,CMS.922,CMS.922,CMS,"Comparative Media Studies","Media Industries and Systems","Media Industries and Systems: The Art, Science and Business of Games",N,3.00,0.00,9.00,12.00,,,,,,,,"Permission of instructor#,#, , ,","Examines the interplay of art, science, law, and commerce in the production, marketing, distribution, and consumption of historic and contemporary videogames. Students create prototypes and develop marketing programs to illustrate the challenges of producing videogames in a professional context. Combines perspectives on media industries and systems with an examination of the creative process, development, and trends that shape content. Includes discussions with industry leaders in various areas. Students taking graduate version complete additional assignments.",,,"CMS.610#,#CMS.610",,Y,N,N,Y,N,"C. Weaver","C. Weaver",,"11/10/16 12:00 AM","05/04/17 12:12 AM",CMS.610,,,"Full Term Subject",http://student.mit.edu/catalog/mCMSa.html
2018,2018FA,CMS.925,CMS,925,CMS.925,CMS.925,CMS,"Comparative Media Studies","Film Music","Film Music",N,3.00,0.00,9.00,12.00,,,,,,,,"Permission of instructor#,#, , ,","Surveys styles and dramatic functions of music for silent films of the 1910s-20s, and music in sound films from the 1930s to the present. Close attention given to landmark scores by American and European composers, including Korngold, Steiner, Rozsa, Prokofiev, Copland, Herrmann, Rota, Morricone, and Williams. Subsidiary topics include new trends in contemporary film-scoring, pop scores, the impact of electronics, and specialized genres (e.g., animation). Students taking the graduate version complete different assignments. Some background in the study of film and/or music is expected.",,,"21M.284#,#21M.284",,Y,Y,N,N,N,"M. Marks","M. Marks",,"03/07/17 12:00 AM","05/04/17 12:12 AM",21M.284,,,"Full Term Subject",http://student.mit.edu/catalog/mCMSa.html
2018,2016FA,CMS.935,CMS,935,CMS.935,CMS.935,CMS,"Comparative Media Studies","Doc Photography & Journalism","Documentary Photography and Photojournalism: Still Images of a World in Motion",N,3.00,0.00,9.00,12.00,,,,,,,,"Permission of instructor#,#, , ,","Meets with 21W.749, but assignments differ.",,,"21W.749#,#21W.749",,Y,Y,N,Y,N,"B. D. Colen","B. D. Colen",,"11/10/16 12:00 AM","05/04/17 12:12 AM",21W.749,,,"Full Term Subject",http://student.mit.edu/catalog/mCMSa.html
2018,2018FA,CMS.950,CMS,950,CMS.950,CMS.950,CMS,"Comparative Media Studies","Workshop I","Workshop I",N,4.00,2.00,6.00,12.00,,,,,,,,"Permission of instructor#,#, , ,","Provides an opportunity for direct project development experience and emphasizes intellectual growth as well as the acquisition of technical skills. Students attend regular meetings to present and critique their work and discuss its implications.",,,,,Y,Y,N,N,N,"J. Paradis","J. Paradis",,"03/21/17 12:00 AM","05/04/17 12:12 AM",CMS.950,,,"Full Term Subject",http://student.mit.edu/catalog/mCMSa.html
2018,2018FA,CMS.S61,CMS,S61,CMS.S61,CMS.S61,CMS,"Comparative Media Studies","Special Subject: CMS","Special Subject: Comparative Media Studies",Y,0.00,0.00,0.00,0.00,,,,,,,,"Permission of instructor#,#, , ,","Seminar or lecture on a topic that is not covered in the regular curriculum.",,,,,N,Y,N,N,N,Staff,Staff,,"03/27/17 12:00 AM","05/04/17 12:12 AM",CMS.S61,,,"Full Term Subject",http://student.mit.edu/catalog/mCMSa.html
2018,2017FA,CMS.S62,CMS,S62,CMS.S62,CMS.S62,CMS,"Comparative Media Studies","Special Subject: CMS","Special Subject: Comparative Media Studies",Y,0.00,0.00,0.00,0.00,,,,,,,,"Permission of instructor#,#, , ,","Seminar or lecture on a topic that is not covered in the regular curriculum.",,,,,Y,N,Y,N,N,,,,"11/10/16 12:00 AM","05/04/17 12:12 AM",CMS.S62,,,"Full Term Subject",http://student.mit.edu/catalog/mCMSa.html
2018,2017FA,CMS.S96,CMS,S96,CMS.S96,CMS.S96,CMS,"Comparative Media Studies","Special Subject: CMS","Special Subject: Comparative Media Studies",Y,0.00,0.00,0.00,0.00,,,,,,,,"Permission of instructor#,#, , ,","Seminar or lecture on a topic that is not covered in the regular curriculum.",,,,,Y,N,N,Y,N,"W. Uricchio, S. Rodriguez","W. Uricchio, S. Rodriguez",,"11/10/16 12:00 AM","05/04/17 12:12 AM",CMS.S96,,,"Full Term Subject",http://student.mit.edu/catalog/mCMSa.html
2018,2017FA,CMS.S97,CMS,S97,CMS.S97,CMS.S97,CMS,"Comparative Media Studies","Special Subject: CMS","Special Subject: Comparative Media Studies",Y,0.00,0.00,0.00,0.00,,,,,,,,"Permission of instructor#,#, , ,","Seminar or lecture on a topic that is not covered in the regular curriculum.",,,,,Y,N,Y,Y,N,,,,"11/10/16 12:00 AM","05/04/17 12:12 AM",CMS.S97,,,"Full Term Subject",http://student.mit.edu/catalog/mCMSa.html
2018,2017FA,CMS.S98,CMS,S98,CMS.S98,CMS.S98,CMS,"Comparative Media Studies","Special Subject: CMS","Special Subject: Comparative Media Studies",Y,0.00,0.00,0.00,0.00,,,,,,,,"Permission of instructor#,#, , ,","Seminar or lecture on a topic that is not covered in the regular curriculum.",,,,,Y,N,Y,N,N,,,,"11/10/16 12:00 AM","05/04/17 12:12 AM",CMS.S98,,,"Full Term Subject",http://student.mit.edu/catalog/mCMSa.html
2018,2015FA,CMS.S99,CMS,S99,CMS.S99,CMS.S99,CMS,"Comparative Media Studies","Special Subject: CMS","Special Subject: Comparative Media Studies",Y,0.00,0.00,0.00,0.00,,,,,,,,"Permission of instructor#,#, , ,","Seminar or lecture on a topic that is not covered in the regular curriculum.",,,,,Y,N,N,Y,N,Staff,Staff,,"11/10/16 12:00 AM","05/04/17 12:12 AM",CMS.S99,,,"Full Term Subject",http://student.mit.edu/catalog/mCMSa.html
