Academic Year,Effective Term Code,Subject Id,Subject Code,Subject Number,Source Subject Id,Print Subject Id,Department Code,Department Name,Subject Short Title,Subject Title,Is Variable Units,Lecture Units,Lab Units,Preparation Units,Total Units,Gir Attribute,Gir Attribute Desc,Comm Req Attribute,Comm Req Attribute Desc,Write Req Attribute,Write Req Attribute Desc,Supervisor Attribute Desc,Prerequisites,Subject Description,Joint Subjects,School Wide Electives,Meets With Subjects,Equivalent Subjects,Is Offered This Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Fall Instructors,Spring Instructors,Status Change,Last Activity Date,Warehouse Load Date,Master Subject Id,Hass Attribute,Hass Attribute Desc,Term Duration,On Line Page Number
2018,2017FA,EC.731,EC,731,MAS.665,EC.731J,EC,"Edgerton Center","Development Ventures","Development Ventures",N,3.00,0.00,9.00,12.00,,,,,,,,"Permission of instructor#,#, , ,","Seminar on founding, financing, and building entrepreneurial ventures in developing nations. Challenges students to craft enduring and economically viable solutions to the problems faced by these countries.  Cases illustrate examples of both successful and failed businesses, and the difficulties in deploying and diffusing products and services through entrepreneurial action.  Explores a range of established and emerging business models, as well as new business opportunities enabled by innovations emerging from MIT labs and beyond.  Students develop a business plan executive summary suitable for submission in the MIT $100K Entrepreneurship Competition's Accelerate Contest or MIT IDEAS.","15.375J, MAS.665J#,#15.375J, MAS.665J",,,,Y,Y,N,N,N,"J. Bonsen, A. Pentland, C. Breazeal","J. Bonsen, A. Pentland, C. Breazeal",,"11/10/16 12:00 AM","05/04/17 12:12 AM",MAS.665,,,"Full Term Subject",http://student.mit.edu/catalog/mECa.html
2018,2017FA,EC.733,EC,733,15.772,EC.733J,EC,"Edgerton Center","D-Lab: Supply Chains","D-Lab: Supply Chains",N,3.00,3.00,6.00,12.00,,,,,,,,,"Introduces concepts of supply chain design and planning with a focus on supply chains for products destined to improve quality of life in developing countries. Topics include demand estimation, process analysis and improvement, facility location and capacity planning, inventory management, and supply chain coordination. Also covers issues specific to emerging markets, such as sustainable supply chains, choice of distribution channels, and how to account for the value-adding role of a supply chain. Students conduct D-Lab-based projects on supply chain design or improvement.","15.772J#,#15.772J",,,,Y,Y,N,N,N,"S. C. Graves","S. C. Graves",,"11/10/16 12:00 AM","05/04/17 12:12 AM",15.772,,,"Full Term Subject",http://student.mit.edu/catalog/mECa.html
2018,2017FA,EC.740,EC,740,EC.740,EC.740,EC,"Edgerton Center","D-Lab: New Economies","D-Lab: New Economies",N,3.00,0.00,6.00,9.00,,,,,,,,,"Explores the ideas behind and actions toward alternatives to the corporate-driven globalization economic model. Begins with review and analysis of the worldviews that led to the current system and the theoretical and empirical arguments embraced by its critics. Examines concepts and case studies for developing new opportunities, including circular and local economies. Concludes with an experiential component in which students apply the concepts to develop a strategy (economic, policy, or other) for building on and contributing to a sustainable and inclusive local economy in a mid-sized city in Nicaragua. Potential opportunities for travel over summer. Limited to 12.",,,,,Y,N,N,Y,N,"E. McDonald, K. Mytty","E. McDonald, K. Mytty",,"11/10/16 12:00 AM","05/04/17 12:12 AM",EC.740,,,"Full Term Subject",http://student.mit.edu/catalog/mECa.html
2018,2017FA,EC.750,EC,750,EC.750,EC.750,EC,"Edgerton Center","Humanitarian Innovation:Design","Humanitarian Innovation: Design for Relief, Rebuilding, and Recovery",N,4.00,0.00,8.00,12.00,,,,,,,,,"Explores the role innovation can and does play in how humanitarian aid is provided, and how it can impact people, products, and processes. Provides a fundamental background in the history and practice of humanitarian aid. Considers the various ways that design can be used to enhance aid, such as product and system design for affected populations, co-creation with affected populations, and capacity building to promote design by refugees and the displaced. Case studies and projects examine protracted displacement as well as recovery and resettlement, including efforts in Colombia, Lebanon, Nepal, Sudan, and Uganda. Potential for students to travel over the summer to partner communities.",,,"EC.785#,#EC.785",,Y,N,N,Y,N,"A. Smith, M. Thompson","A. Smith, M. Thompson",,"11/10/16 12:00 AM","05/04/17 12:12 AM",EC.750,,,"Full Term Subject",http://student.mit.edu/catalog/mECa.html
2018,2018FA,EC.770,EC,770,EC.770,EC.770,EC,"Edgerton Center","D-Lab: Independent Project","D-Lab: Independent Project",Y,0.00,0.00,0.00,0.00,,,,,,,,"Permission of instructor#,#, , ,","Opportunity for independent study under regular supervision by a staff member. Projects require prior approval, as well as a written proposal and final report.  Students work with international community partners to continue developing projects, focusing on one or more issues in education, design, or public service. Final presentations and written reflection required. May be repeated for credit for a maximum of 12 units.",,,,,Y,Y,Y,Y,N,"S. L. Hsu","S. L. Hsu",,"05/03/17 12:00 AM","05/04/17 12:12 AM",EC.770,,,"Full Term Subject",http://student.mit.edu/catalog/mECa.html
2018,2018FA,EC.780,EC,780,EC.780,EC.780,EC,"Edgerton Center","D-Lab: Independent Project","D-Lab: Independent Project",Y,0.00,0.00,0.00,0.00,,,,,,,,,"Opportunity for independent study under regular supervision by a staff member. Projects require prior approval, as well as a written proposal and final report. Students work with international community partners to continue developing projects, focusing on one or more issues in education, design, or public service. Final presentations and written reflection required. May be repeated for credit for a maximum of 12 units.",,,,,Y,Y,Y,Y,N,"S. L. Hsu","S. L. Hsu",,"05/03/17 12:00 AM","05/04/17 12:12 AM",EC.780,,,"Full Term Subject",http://student.mit.edu/catalog/mECa.html
2018,2016FA,EC.781,EC,781,EC.781,EC.781J,EC,"Edgerton Center","D-Lab: Development","D-Lab: Development",N,3.00,2.00,7.00,12.00,,,,,,,,,"Issues in international development, appropriate technology and project implementation addressed through lectures, case studies, guest speakers and laboratory exercises. Students form project teams to partner with community organizations in developing countries, and formulate plans for an optional IAP site visit. (Previous field sites include Ghana, Brazil, Honduras and India.) Recitation sections focus on specific project implementation, and include cultural, social, political, environmental and economic overviews of the target countries as well as an introduction to the local languages. Enrollment limited by lottery; must attend first class session.","11.472J#,#11.472J",,"11.025J, EC.701J#,#11.025J, EC.701J",,Y,Y,N,N,N,"S. L. Hsu, A. B. Smith, B. Sanyal","S. L. Hsu, A. B. Smith, B. Sanyal",,"11/10/16 12:00 AM","05/04/17 12:12 AM",EC.701,,,"Full Term Subject",http://student.mit.edu/catalog/mECa.html
2017,2017FA,EC.717,EC,717,EC.717,EC.717,EC,"Edgerton Center","D-Lab: Education & Learning","D-Lab: Education and Learning",N,2.00,3.00,7.00,12.00,,,,,,,,,"Explores education in learning environments around the world that are hindered by challenges such as limited resources, language barriers, large class sizes, and entrenched pedagogy. Through an overview of core teaching skills that emphasize experiential and project-based learning, class provides the necessary background to nurture creativity in youth and develop methods of fostering design thinking, leadership, community, livelihood applications, and more. Students develop educational strategies to teach practical skills to local and international community partners and receive feedback from peers and mentors. International fieldwork opportunities may be available. Limited to 20.",,,"EC.787#,#EC.787",,N,N,N,Y,N,"S. Hsu","S. Hsu",,"01/10/17 12:00 AM","05/04/17 12:12 AM",EC.717,,,"Full Term Subject",http://student.mit.edu/catalog/mECa.html
2018,2017FA,EC.719,EC,719,EC.719,EC.719,EC,"Edgerton Center","D-Lab:Water and Climate Change","D-Lab: Water and Climate Change",N,3.00,4.00,5.00,12.00,,,,,,,,,"Addresses mitigation and adaptation to climate change as it relates to water. Weekly seminars as well as readings and discussions, workshops/games, field trips, and films tackle the water/climate change challenge and explore solutions. Field trips include coastal watershed restoration, flood protection, carbon sequestration and zero carbon sites in the greater Boston area. Students submit a project proposal (individually or in teams) to MIT Climate CoLab or a grant-making organization of their choice.",,,"EC.789#,#EC.789",,Y,N,N,Y,N,"S. Murcott","S. Murcott",,"11/10/16 12:00 AM","05/04/17 12:12 AM",EC.719,,,"Full Term Subject",http://student.mit.edu/catalog/mECa.html
2018,2016FA,EC.720,EC,720,EC.720,EC.720J,EC,"Edgerton Center","D-Lab: Design","D-Lab: Design",N,3.00,0.00,9.00,12.00,,,,,,,,"2.670 or permission of the instructor#,#2.670 , , , , ,","Addresses problems faced by underserved communities with a focus on design, experimentation, and prototyping processes. Particular attention placed on constraints faced when designing for developing countries.  Multidisciplinary teams work on long-term projects in collaboration with community partners, field practitioners, and experts in relevant fields. Topics covered include design for affordability, manufacture,  sustainability, and strategies for working effectively with community partners and customers. Students may continue projects begun in EC.701. Enrollment limited by lottery; must attend first class session.","2.722J#,#2.722J",,,,Y,N,N,Y,N,"A. B. Smith, M. McCambridge","A. B. Smith, M. McCambridge",,"11/10/16 12:00 AM","05/04/17 12:12 AM",EC.720,,,"Full Term Subject",http://student.mit.edu/catalog/mECa.html
2018,2017FA,EC.721,EC,721,EC.721,EC.721,EC,"Edgerton Center","D-Lab: Mobility for Disability","D-Lab: Mobility Technology for, by, and with People with Disabilities",N,2.00,2.00,5.00,9.00,,,,,,,,,"Students improve wheelchair technology in developing countries by applying sound engineering practices to create appropriate devices. Lectures focus on wheelchair usage, social stigmas, and manufacturing constraints. Includes lectures by third-world community partners, US wheelchair organizations, and MIT faculty. Multidisciplinary student teams conduct term-long wheelchair projects relating to hardware design. Funded opportunities available for travel to implement class projects at wheelchair workshops in the field.",,,,,Y,Y,N,N,N,"M. McCambridge","M. McCambridge",,"11/10/16 12:00 AM","05/04/17 12:12 AM",EC.721,,,"Full Term Subject",http://student.mit.edu/catalog/mECa.html
2018,2017FA,EC.722,EC,722,EC.722,EC.722,EC,"Edgerton Center","Prosthetics for Dev World","Prosthetics for the Developing World",N,2.00,2.00,5.00,9.00,,,,,,,,,"Introduces the fundamentals of human walking. Provides an overview of different types of gait disabilities and the available technologies that address them. Presents patient perspective as well as current areas of research. Topics focus on lower-limb disabilities, such as polio and above- and below-knee amputation. Covers both developed and developing world techniques for overcoming these disabilities. Includes a term project in which teams of 3 to 5 students manufacture a prototype. Teams meet outside of class and work with a TA (project mentor) to research, design, prototype, and test a solution. Projects focus on low-cost orthotic and prosthetic knee designs for the developing world, as specified by partner organizations in India and Guatemala.",,,,,Y,N,N,Y,N,"M. McCambridge","M. McCambridge",,"11/10/16 12:00 AM","05/04/17 12:12 AM",EC.722,,,"Full Term Subject",http://student.mit.edu/catalog/mECa.html
2018,2017FA,EC.729,EC,729,EC.729,EC.729J,EC,"Edgerton Center","D-Lab: Design for Scale","D-Lab: Design for Scale",N,3.00,2.00,7.00,12.00,,,,,,,,"Permission of instructor#,#, , ,","Focuses on product development of technologies for people in less industrialized markets. Students work in interdisciplinary teams to develop previously established prototypes or technologies towards manufacturing-ready product designs. Topics are presented within the context of the developing world and include technology feasibility and scalability assessment; value chain analysis; product specification; design for affordability, manufacturability, usability, and desirability; and product testing and manufacturing at various scales. Lessons are experiential and case study-based; taught by instructors with field experience and by industry experts from product development consulting firms and the consumer electronics industry.","2.729J#,#2.729J",,,,Y,Y,N,N,N,"M. McCambridge, M. Yang, H. Quintus-Bosz","M. McCambridge, M. Yang, H. Quintus-Bosz",,"11/10/16 12:00 AM","05/04/17 12:12 AM",EC.729,,,"Full Term Subject",http://student.mit.edu/catalog/mECa.html
2018,2016FA,EC.711,EC,711,EC.711,EC.711J,EC,"Edgerton Center","D-Lab: Energy","D-Lab: Energy",N,3.00,3.00,6.00,12.00,,,,,,,,,"Provides a project-based approach that engages students in understanding and addressing the applications of alternative energy technology in developing countries. Focuses on compact, robust, low-cost systems for generating electrical power. Includes projects such as micro-hydro, solar, or wind turbine generators along with theoretical analysis, design, prototype construction, evaluation and implementation. Students will have the opportunity for an optional spring break site visit to identify and implement projects. Students taking graduate version complete additional assignments. Enrollment limited by lottery; must attend first class session.","2.651J#,#2.651J",,"EC.791#,#EC.791",,Y,N,N,Y,N,"S. L. Hsu","S. L. Hsu",,"11/10/16 12:00 AM","05/04/17 12:12 AM",EC.711,,,"Full Term Subject",http://student.mit.edu/catalog/mECa.html
2017,2016FA,EC.712,EC,712,EC.712,EC.712,EC,"Edgerton Center","D-Lab: Info & CommTechnologies","D-Lab: Information and Communication Technologies for Development (ICT)",N,2.00,2.00,8.00,12.00,,,,,,,,,"Explores the use of information and communication technologies (ICT) to address specific needs in developing countries. Establishes knowledge and engineering skills needed to successfully deploy an ICT project, with a focus on appropriateness, transferability, and long-term sustainability. The first half of term presents an introduction to communication hardware, including antenna design, RFID, Bluetooth, Wi-Fi, and low-power sensors. Second half covers development of mobile phone applications and server communications, as well as system architecture for data collection and mapping. Students work in multidisciplinary teams, collaborating with local community partners. Culminates in a final project to be deployed in the field. Students taking graduate version complete additional assignment related to the term project.",,,"EC.782#,#EC.782",,N,Y,N,N,N,"R. Fletcher, A. Smith","R. Fletcher, A. Smith",,"10/20/15 12:00 AM","05/04/17 12:12 AM",EC.712,,,"Full Term Subject",http://student.mit.edu/catalog/mECa.html
2018,2017FA,EC.785,EC,785,EC.785,EC.785,EC,"Edgerton Center","Humanitarian Innovation:Design","Humanitarian Innovation: Design for Relief, Rebuilding, and Recovery",N,4.00,0.00,8.00,12.00,,,,,,,,,"Explores the role innovation can and does play in how humanitarian aid is provided, and how it can impact people, products, and processes. Provides a fundamental background in the history and practice of humanitarian aid. Considers the various ways that design can be used to enhance aid, such as product and system design for affected populations, co-creation with affected populations, and capacity building to promote design by refugees and the displaced. Case studies and projects examine protracted displacement as well as recovery and resettlement, including efforts in Colombia, Lebanon, Nepal, Sudan, and Uganda. Potential for students to travel over the summer to partner communities.",,,"EC.750#,#EC.750",,Y,N,N,Y,N,"A. Smith, M. Thompson","A. Smith, M. Thompson",,"11/10/16 12:00 AM","05/04/17 12:12 AM",EC.750,,,"Full Term Subject",http://student.mit.edu/catalog/mECa.html
2018,2018FA,EC.786,EC,786,EC.786,EC.786,EC,"Edgerton Center","D-Lab: Waste","D-Lab: Waste",N,3.00,0.00,6.00,9.00,,,,,,,,,"Uses a multi-disciplinary approach to understand global challenges related to waste. Provides a platform for initiatives such as cradle-to-cradle design, upcycling, diminishment of environmental impacts, and enterprise opportunities for marginalized populations. Studies zero-waste strategies worldwide; examines different models of collection, recycling, waste management, and businesses developed in low-income settings; and researches public policy that supports sustainable, integrated waste management systems. Teams engage in development of solutions around waste-related challenges, in partnership with wastepickers, municipal governments, and private sector and community organizations. Includes guest speakers and field trips, as well as opportunities for IAP or summer travel. Students taking graduate version complete additional assignments.",,,"EC.716#,#EC.716",,Y,Y,N,N,N,"K. Mytty","K. Mytty",,"03/13/17 12:00 AM","05/04/17 12:12 AM",EC.716,,,"Full Term Subject",http://student.mit.edu/catalog/mECa.html
2017,2017FA,EC.787,EC,787,EC.787,EC.787,EC,"Edgerton Center","D-Lab: Education & Learning","D-Lab: Education and Learning",N,2.00,3.00,7.00,12.00,,,,,,,,,"Explores education in learning environments around the world that are hindered by challenges such as limited resources, language barriers, large class sizes, and entrenched pedagogy. Through an overview of core teaching skills that emphasize experiential and project-based learning, class provides the necessary background to nurture creativity in youth and develop methods of fostering design thinking, leadership, community, livelihood applications, and more. Students develop educational strategies to teach practical skills to local and international community partners and receive feedback from peers and mentors. International fieldwork opportunities may be available. Students taking graduate version complete additional assignments. Limited to 20.",,,"EC.717#,#EC.717",,N,N,N,Y,N,"S. Hsu","S. Hsu","New subject","01/10/17 12:00 AM","05/04/17 12:12 AM",EC.717,,,"Full Term Subject",http://student.mit.edu/catalog/mECa.html
2018,2017FA,EC.788,EC,788,EC.788,EC.788,EC,"Edgerton Center","D-Lab: Field Research","D-Lab: Field Research",N,3.00,0.00,9.00,12.00,,,,,,,,"Permission of instructor#,#, , ,","Combines hands-on methods for conducting field research with exploration of questions that continue to challenge practitioners, donors, policymakers and researchers in international development. Designed for students preparing to conduct field-based research for theses, product design project, or development ventures. Practices key research skills particularly applicable to conducting research involving people and communities in the context of development. Limited to 16.",,,,,Y,N,N,Y,N,"E. Moreno","E. Moreno",,"11/10/16 12:00 AM","05/04/17 12:12 AM",EC.788,,,"Full Term Subject",http://student.mit.edu/catalog/mECa.html
2018,2017FA,EC.789,EC,789,EC.789,EC.789,EC,"Edgerton Center","D-Lab:Water and Climate Change","D-Lab: Water and Climate Change",N,3.00,4.00,5.00,12.00,,,,,,,,,"Addresses mitigation and adaptation to climate change as it relates to water. Weekly seminars as well as readings and discussions, workshops/games, field trips, and films tackle the water/climate change challenge and explore solutions. Field trips include coastal watershed restoration, flood protection, carbon sequestration and zero carbon sites in the greater Boston area. Students submit a project proposal (individually or in teams) to MIT Climate CoLab or a grant-making organization of their choice.",,,"EC.719#,#EC.719",,Y,N,N,Y,N,"S. Murcott","S. Murcott",,"11/10/16 12:00 AM","05/04/17 12:12 AM",EC.719,,,"Full Term Subject",http://student.mit.edu/catalog/mECa.html
2018,2017FA,EC.713,EC,713,4.411,EC.713J,EC,"Edgerton Center","D-Lab Schools: Bldg Technology","D-Lab Schools: Building Technology Laboratory",N,2.00,3.00,7.00,12.00,LAB,"Institute Lab",,,,,,"GIR:PHY1, GIR:CAL1#,#GIR:PHY1, GIR:CAL1","Focuses on the design, analysis, and application of technologies that support the construction of less expensive and better performing schools in developing countries. Prepares students to design or retrofit school buildings in partnership with local communities and NGOs. Strategies covered include daylighting, passive heating and cooling, improved indoor air quality via natural ventilation, appropriate material selection, and structural design. Investigations are based on application of engineering fundamentals, experiments and simulations. Case studies illustrate the role of technologies in reducing barriers to improved education.","4.411J#,#4.411J",,,,Y,Y,N,N,N,"L. K. Norford","L. K. Norford",,"11/10/16 12:00 AM","05/04/17 12:12 AM",4.411,,,"Full Term Subject",http://student.mit.edu/catalog/mECa.html
2018,2017FA,EC.714,EC,714,EC.714,EC.714,EC,"Edgerton Center","D-Lab: Earth","D-Lab: Earth",N,2.00,0.00,4.00,6.00,,,,,,,,,"Multidisciplinary seminar explores the interacting systems of global biodiversity and human well-being to address how low-income communities can both preserve and use their natural resources sustainably.  Includes guest lectures, experiential activities, and projects. Covers topics such as reforestation, nutrient cycles, poaching, climate change, eco-tourism, governance, ecological measurement and sustainable design.  Potential opportunities for travel.",,,,,Y,N,N,Y,N,"S. Murcott, A. Phillips","S. Murcott, A. Phillips",,"11/10/16 12:00 AM","05/04/17 12:12 AM",EC.714,,,"Full Term Subject",http://student.mit.edu/catalog/mECa.html
2018,2017FA,EC.715,EC,715,EC.715,EC.715,EC,"Edgerton Center","D-Lab:H2O, San,& Hygiene Innov","D-Lab: Water, Sanitation, Hygiene and Environmental Innovations for the Common Good",N,3.00,0.00,6.00,9.00,,,,,,,,,"Focuses on disseminating Water, Sanitation and Hygiene (WASH) or water/environment innovations in developing countries and underserved communities worldwide. Structured around field-based learning, case studies, lectures and videos in which teams propose an idea and are mentored through the process of bringing that innovation to fruition. Emphasizes core WASH and water/environment principles, culture-specific solutions, tools for start-ups, appropriate and sustainable technologies, behavior change, social marketing, building partnerships, and the theory and practice of innovation diffusion. Term project entails entering the IDEAS or other competition(s) while implementing a WASH or water/environment innovation in a specific locale. Guest lectures on specific real-world WASH and water/environment projects which have been disseminated by MIT faculty, students, alumni, and others. Students taking graduate version complete additional assignments. Limited to 30.",,,"11.474#,#11.474",,Y,N,N,Y,N,"S. E. Murcott","S. E. Murcott",,"11/10/16 12:00 AM","05/04/17 12:12 AM",EC.715,,,"Full Term Subject",http://student.mit.edu/catalog/mECa.html
