Academic Year,Effective Term Code,Subject Id,Subject Code,Subject Number,Source Subject Id,Print Subject Id,Department Code,Department Name,Subject Short Title,Subject Title,Is Variable Units,Lecture Units,Lab Units,Preparation Units,Total Units,Gir Attribute,Gir Attribute Desc,Comm Req Attribute,Comm Req Attribute Desc,Write Req Attribute,Write Req Attribute Desc,Supervisor Attribute Desc,Prerequisites,Subject Description,Joint Subjects,School Wide Electives,Meets With Subjects,Equivalent Subjects,Is Offered This Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Fall Instructors,Spring Instructors,Status Change,Last Activity Date,Warehouse Load Date,Master Subject Id,Hass Attribute,Hass Attribute Desc,Term Duration,On Line Page Number
2018,2017FA,ES.113,ES,113,ES.113,ES.113,ESG,"Experimental Study Group","Ancient Greek Philsophy & Math","Ancient Greek Philosophy and Mathematics",N,3.00,0.00,9.00,12.00,,,CIH,"Communication Intensive HASS",,,,,"Explores the relationship between ancient Greek philosophy and mathematics. Investigates how ideas of definition, reason, argument and proof, rationality/irrationality, number, quality and quantity, truth, and even the idea of an idea were shaped by the interplay of philosophic and mathematical inquiry. Examines how discovery of the incommensurability of magnitudes challenged the Greek presumption that the cosmos is fully understandable. Explores the influence of mathematics on ancient Greek ethical theories. Authors: Euclid, Plato, Aristotle, Nicomachus, Theon of Smyrna, Bacon, Descartes, Dedekind, and Newton. Preference to students in Concourse and ESG.",,,,,N,N,N,Y,N,"L. Perlman","L. Perlman",,"11/10/16 12:00 AM","05/04/17 12:12 AM",ES.113,HH,"HASS Humanities","Full Term Subject",http://student.mit.edu/catalog/mESa.html
2018,2012FA,ES.1801,ES,1801,ES.1801,ES.1801,ESG,"Experimental Study Group",Calculus,Calculus,N,5.00,0.00,7.00,12.00,CAL1,"Calculus I",,,,,,,"Equivalent to 18.01; see 18.01 for description. Instruction provided through small, interactive classes. Limited to students in ESG.",,,,"18.01, 18.014, 18.01A, CC.181A, ES.181A#,#18.01, 18.014, 18.01A, CC.181A, ES.181A",Y,Y,N,N,N,"G. Stoy","G. Stoy",,"11/10/16 12:00 AM","05/04/17 12:12 AM",ES.1801,,,"Full Term Subject",http://student.mit.edu/catalog/mESa.html
2018,2012FA,ES.1802,ES,1802,ES.1802,ES.1802,ESG,"Experimental Study Group",Calculus,Calculus,N,5.00,0.00,7.00,12.00,CAL2,"Calculus II",,,,,,"GIR:CAL1#,#GIR:CAL1","Equivalent to 18.02; see 18.02 for description. Instruction provided through small, interactive classes. Limited to students in ESG.",,,,"18.02, 18.022, 18.02A, CC.1802, CC.182A, ES.182A#,#18.02, 18.022, 18.02A, CC.1802, CC.182A, ES.182A",Y,Y,N,Y,N,"G. Stoy","G. Stoy",,"11/10/16 12:00 AM","05/04/17 12:12 AM",ES.1802,,,"Full Term Subject",http://student.mit.edu/catalog/mESa.html
2018,2015FA,ES.1803,ES,1803,ES.1803,ES.1803,ESG,"Experimental Study Group","Differential Equations","Differential Equations",N,5.00,0.00,7.00,12.00,REST,"Rest Elec in Sci & Tech",,,,,,"[GIR:CAL2]#,#[GIR:CAL2]","Equivalent to 18.03; see 18.03 for description. Instruction provided through small, interactive classes. Limited to students in ESG.",,,,"18.03, 18.032, CC.1803#,#18.03, 18.032, CC.1803",Y,Y,N,Y,N,"J. Orloff","J. Orloff",,"11/10/16 12:00 AM","05/04/17 12:12 AM",ES.1803,,,"Full Term Subject",http://student.mit.edu/catalog/mESa.html
2018,2017FA,ES.181A,ES,181A,ES.181A,ES.181A,ESG,"Experimental Study Group",Calculus,Calculus,N,5.00,0.00,7.00,12.00,CAL1,"Calculus I",,,,,,"Knowledge of differentiation and elementary integration#,#, , , , , ,","Equivalent to 18.01A; see 18.01A for description. Instruction provided through small, interactive classes. Limited to students in ESG.",,,,"18.01, 18.01A, CC.181A#,#18.01, 18.01A, CC.181A",Y,Y,N,N,N,"J. Orloff","J. Orloff",,"11/10/16 12:00 AM","05/04/17 12:12 AM",ES.181A,,,"First Half Term Subject",http://student.mit.edu/catalog/mESa.html
2018,2017FA,ES.182A,ES,182A,ES.182A,ES.182A,ESG,"Experimental Study Group",Calculus,Calculus,N,5.00,0.00,7.00,12.00,CAL2,"Calculus II",,,,,,"GIR:CAL1#,#GIR:CAL1","Equivalent to 18.02A; see 18.02A for description. Instruction provided through small, interactive classes. Limited to students in ESG.",,,,"18.02, 18.02A, CC.182A#,#18.02, 18.02A, CC.182A",Y,Y,Y,N,N,"J. Orloff","J. Orloff",,"11/10/16 12:00 AM","05/04/17 12:12 AM",ES.182A,,,"Full Term Subject",http://student.mit.edu/catalog/mESa.html
2018,2017FA,ES.200,ES,200,ES.200,ES.200,ESG,"Experimental Study Group","ESG Undergraduate Teaching","ESG Undergraduate Teaching",N,2.00,0.00,4.00,6.00,,,,,,,,"Permission of instructor#,#, , ,","An opportunity to assist in the teaching of subjects in ESG in biology, chemistry, humanities and social sciences, mathematics, and physics. Student instructors may be involved in grading, running problemsolving sessions, or teaching classes depending on experience and interest. Qualified students may also develop and teach undergraduate seminars under the supervision of an appropriate faculty or staff member. Student instructors meet weekly with staff to discuss their teaching and cover a variety of topics related to effective teaching techniques. Limited to students in ESG.",,,,,Y,Y,N,Y,N,"P. Christie, G. Ramsay, G. Stoy","P. Christie, G. Ramsay, G. Stoy",,"11/10/16 12:00 AM","05/04/17 12:12 AM",ES.200,,,"Full Term Subject",http://student.mit.edu/catalog/mESa.html
2018,2017FA,ES.210,ES,210,ES.210,ES.210,ESG,"Experimental Study Group","ESG Independent Study","ESG Independent Study",Y,0.00,0.00,0.00,0.00,,,,,,,"Independent Study","Permission of instructor#,#, , ,","Opportunity for independent study under regular supervision by a staff member. Projects require prior approval, as well as a written proposal and a final report. Limited to students in ESG.",,,,,Y,Y,Y,Y,Y,"L. Royden","L. Royden",,"11/10/16 12:00 AM","05/04/17 12:12 AM",ES.210,,,"Full Term Subject",http://student.mit.edu/catalog/mESa.html
2018,2016FA,ES.3091,ES,3091,ES.3091,ES.3091,ESG,"Experimental Study Group","Intro to Solid-State Chemistry","Introduction to Solid-State Chemistry",N,5.00,0.00,7.00,12.00,CHEM,Chemistry,,,,,,,"Equivalent to 3.091; see 3.091 for description. Students attend regular 3.091 lectures and are assigned to recitations taught by ESG staff. Limited to students in ESG.",,,"3.091#,#3.091","5.111, 5.112, CC.5111, ES.5111, ES.5112#,#5.111, 5.112, CC.5111, ES.5111, ES.5112",N,Y,N,N,N,"P. Christie","P. Christie",,"11/10/16 12:00 AM","05/04/17 12:12 AM",3.091,,,"Full Term Subject",http://student.mit.edu/catalog/mESa.html
2018,2016FA,ES.333,ES,333,ES.333,ES.333J,ESG,"Experimental Study Group","Producing Educational Videos","Production of Educational Videos:  Skills for Communicating Academic and Professional Content",N,3.00,1.00,8.00,12.00,,,CIH,"Communication Intensive HASS",,,,,"Develops communication and media skills through the production of educational videos. Students conceive, plan, script, shoot and edit video content to teach elements of MIT's curriculum. Each student creates a series of short videos that concisely explains and contextualizes specific problems of importance to disciplines at MIT, especially physics, math, chemistry, biology, or the humanities. The resulting videos present these problems through compelling use of illustrations, demonstrations, animations, and commentary, all from the student's perspective. Empowers students specifically to communicate their MIT expertise to communities of learners and generally to reach broad audiences with quality, accessible online content. Limited to 12; preference to students in ESG.","CMS.333J#,#CMS.333J",,,,Y,N,N,Y,N,"D. Custer, G. Ramsay","D. Custer, G. Ramsay",,"11/10/16 12:00 AM","05/04/17 12:12 AM",ES.333,HE,"HASS Elective","Full Term Subject",http://student.mit.edu/catalog/mESa.html
