Academic Year,Effective Term Code,Subject Id,Subject Code,Subject Number,Source Subject Id,Print Subject Id,Department Code,Department Name,Subject Short Title,Subject Title,Is Variable Units,Lecture Units,Lab Units,Preparation Units,Total Units,Gir Attribute,Gir Attribute Desc,Comm Req Attribute,Comm Req Attribute Desc,Write Req Attribute,Write Req Attribute Desc,Supervisor Attribute Desc,Prerequisites,Subject Description,Joint Subjects,School Wide Electives,Meets With Subjects,Equivalent Subjects,Is Offered This Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Fall Instructors,Spring Instructors,Status Change,Last Activity Date,Warehouse Load Date,Master Subject Id,Hass Attribute,Hass Attribute Desc,Term Duration,On Line Page Number
2018,2017FA,HST.542,HST,542,6.022,HST.542J,HST,"Health Sciences & Technology","Quant  Systems Physiology","Quantitative Systems Physiology",N,4.00,2.00,6.00,12.00,,,,,,,,"GIR:PHY2, 18.03, or permission of instructor#,#GIR:PHY2, 18.03, , , , ,","Application of the principles of energy and mass flow to major human organ systems. Mechanisms of regulation and homeostasis. Anatomical, physiological and pathophysiological features of the cardiovascular, respiratory and renal systems. Systems, features and devices that are most illuminated by the methods of physical sciences. Laboratory work includes some animal studies. Students taking graduate version complete additional assignments.","2.792J, 6.022J#,#2.792J, 6.022J",,"2.796J, 6.522J#,#2.796J, 6.522J",,Y,N,N,Y,N,"T. Heldt, R. G. Mark, C. M. Stultz","T. Heldt, R. G. Mark, C. M. Stultz",,"11/10/16 12:00 AM","05/04/17 12:12 AM",6.022,,,"Full Term Subject",http://student.mit.edu/catalog/mHSTa.html
2018,2016FA,HST.545,HST,545,HST.545,HST.545,HST,"Health Sciences & Technology","Physiological Systems Analysis","Physiological Systems Analysis",N,3.00,3.00,6.00,12.00,,,,,,,,"18.03, 18.06#,#18.03, 18.06","A survey of systems theory with applications from bioengineering and physiology. Analysis: differential equations, linear and nonlinear systems, stability, the complementary nature of time and frequency domain methods, feedback, and biological oscillations. Applications: nerve function, muscle dynamics, cardiovascular regulation. Laboratory: neural models, feedback control systems, properties of muscle, cardiovascular function. Follows Harvard FAS calendar.",,,,,Y,Y,N,N,N,"K. Parker","K. Parker",,"11/10/16 12:00 AM","05/04/17 12:12 AM",HST.545,,,"Full Term Subject",http://student.mit.edu/catalog/mHSTa.html
2018,2017FA,HST.514,HST,514,HST.514,HST.514J,HST,"Health Sciences & Technology","Sensory-Neural Systems","Sensory-Neural Systems: Spatial Orientation from End Organs to Behavior and Adaptation",N,3.00,0.00,9.00,12.00,,,,,,,,"Permission of instructor#,#, , ,","Introduces sensory systems,and multi-sensory fusion using the vestibular and spatial orientation systems as a model. Topics range from end organ dynamics to neural responses, to sensory integration, to behavior, and adaptation, with particular application to balance, posture and locomotion under normal gravity and space conditions. Depending upon the background and interests of the students, advanced term project topics might include motion sickness, astronaut adaptation, artificial gravity, lunar surface locomotion, vestibulo-cardiovascular responses, vestibular neural prostheses, or other topics of interest. Background in neuroscience or systems engineering preferred.","16.430J#,#16.430J",,,,Y,N,N,Y,N,"K. Faisal, L. Young","K. Faisal, L. Young",,"11/10/16 12:00 AM","05/04/17 12:12 AM",HST.514,,,"Full Term Subject",http://student.mit.edu/catalog/mHSTa.html
2018,2018FA,HST.535,HST,535,HST.535,HST.535,HST,"Health Sciences & Technology","Prin & Practice of Tissue Engr","Principles and Practice of Tissue Engineering and Regenerative Medicine (TERM)",N,3.00,0.00,9.00,12.00,,,,,,,,,"Leaders in the field present the principles and practice of tissue engineering (and regenerative medicine). Topics include the principles underlying strategies for employing select exogenous cells, biomaterial scaffolds, soluble regulators or their genes, and mechanical loading for the regeneration of tissues and organs in vitro and in vivo. Differentiated cell types and stem cells are compared and contrasted, as are natural and synthetic scaffolds. Covers the rationale for employing selected growth factors and examines the methods for incorporating their genes into the scaffolds. Discusses the influence of environmental factors. Presents methods for fabricating tissue-engineered products and devices for implantation. Addresses the federal regulatory status of tissue-engineered products, as well as strategies for introducing such products into the clinic. Examples of procedures currently employed clinically are analyzed as case studies.",,,,,Y,Y,N,N,N,"M. Spector, I. V. Yannas","M. Spector, I. V. Yannas",,"01/25/17 12:00 AM","05/04/17 12:12 AM",HST.535,,,"Full Term Subject",http://student.mit.edu/catalog/mHSTa.html
2018,2017FA,HST.537,HST,537,1.631,HST.537J,HST,"Health Sciences & Technology","Fluid Dynamics and Disease","Fluid Dynamics and Disease",N,3.00,0.00,9.00,12.00,,,,,,,,,"Reviews theoretical notions in mathematical epidemiology and open problems in understanding and modeling disease onset and spread. Bridges the disease modeling efforts at the large-scale population-level and those at the micro-scale pathogen-level via the use of fluid dynamics. Covers topics such as interfacial flows, fluid fragmentation, multiphase flows, turbulent flows, and fluid-structure interaction. Intended for students with a strong quantitative background interested in learning about applications in health and epidemiology and for students with an epidemiology and health background interested in learning about fluid dynamics approaches relevant to disease transmission. In the spirit of the OneHealth Initiative, covers advanced topics on the health of human, animal, and plant populations.","1.631J, 2.250J#,#1.631J, 2.250J",,,,Y,N,N,Y,N,"L. Bourouiba","L. Bourouiba",,"11/10/16 12:00 AM","05/04/17 12:12 AM",1.631,,,"Full Term Subject",http://student.mit.edu/catalog/mHSTa.html
2018,2016FA,HST.539,HST,539,5.64,HST.539J,HST,"Health Sciences & Technology","Interdisc Sci: Health&Disease","Frontiers of Interdisciplinary Science in Human Health and Disease",N,3.00,0.00,9.00,12.00,,,,,,,,"5.13, 5.60; 5.07 or 7.05#,#5.13, 5.60, 5.07 , 7.05","Introduces major principles, concepts, and clinical applications of biophysics, biophysical chemistry, and systems biology. Emphasizes biological macromolecular interactions, biochemical reaction dynamics, and genomics. Discusses current technological frontiers and areas of active research at the interface of basic and clinical science. Provides integrated, interdisciplinary training and core experimental and computational methods in molecular biochemistry and genomics.","5.64J#,#5.64J",,,,Y,N,N,Y,N,"A. Shalek","A. Shalek",,"11/10/16 12:00 AM","05/04/17 12:12 AM",5.64,,,"Full Term Subject",http://student.mit.edu/catalog/mHSTa.html
2018,2017FA,HST.515,HST,515,16.423,HST.515J,HST,"Health Sciences & Technology","Aerospc Biomed & Life Supp Eng","Aerospace Biomedical and Life Support Engineering",N,3.00,1.00,8.00,12.00,,,,,,,,"16.400, 16.06, or permission of instructor#,#16.400, 16.06, , , , ,","Fundamentals of human performance, physiology, and life support impacting engineering design and aerospace systems. Topics include effects of gravity on the muscle, skeletal, cardiovascular, and neurovestibular systems; human/pilot modeling and human/machine design; flight experiment design; and life support engineering for extravehicular activity (EVA). Case studies of current research are presented. Assignments include a design project, quantitative homework sets, and quizzes emphasizing engineering and systems aspects.","16.423J, IDS.337J#,#16.423J, IDS.337J",,,,Y,N,N,Y,N,"D. J. Newman","D. J. Newman",,"11/10/16 12:00 AM","05/04/17 12:12 AM",16.423,,,"Full Term Subject",http://student.mit.edu/catalog/mHSTa.html
2018,2017FA,HST.516,HST,516,HST.516,HST.516,HST,"Health Sciences & Technology","Sleep and Circadian Clocks","Sleep and Circadian Clocks: From Biology to Public Health",N,3.00,0.00,9.00,12.00,,,,,,,,"Biological sciences#,#, ,","Explores the neurobiology of the brain's circadian clock that regulates the timing and structure of sleep, its interaction with the periodic environment, and the consequences of circadian disruption (in our 24/7 society) on health, performance, and safety. Follows Harvard FAS calendar.",,,,,Y,N,N,Y,N,"C. A. Czeisler","C. A. Czeisler",,"02/02/17 12:00 AM","05/04/17 12:12 AM",HST.516,,,"Full Term Subject",http://student.mit.edu/catalog/mHSTa.html
2018,2017FA,HST.518,HST,518,16.453,HST.518J,HST,"Health Sciences & Technology","Human Sys Engineering","Human Systems Engineering",N,3.00,0.00,9.00,12.00,,,,,,,,"6.041B, 16.09, or permission of instructor#,#6.041B, 16.09, , , , ,","Provides a fundamental understanding of human factors that must be taken into account in the design and engineering of complex aviation, space, and medical systems. Focuses primarily on derivation of human engineering design criteria from sensory, motor, and cognitive sources.  Includes principles of displays, controls and ergonomics, manual control, the nature of human error, basic experimental design, and human-computer interaction in supervisory control settings. Students taking graduate version complete a research project with a final written report and oral presentation.","16.453J#,#16.453J",,"16.400#,#16.400",,Y,Y,N,N,N,"L. A. Stirling","L. A. Stirling",,"11/10/16 12:00 AM","05/04/17 12:12 AM",16.400,,,"Full Term Subject",http://student.mit.edu/catalog/mHSTa.html
2018,2018FA,HST.522,HST,522,2.79,HST.522J,HST,"Health Sciences & Technology","Biomaterials: Tissue Interact","Biomaterials: Tissue Interactions",N,3.00,0.00,9.00,12.00,,,,,,,,"GIR:CHEM, GIR:BIOL, GIR:PHY1; or permission of instructor#,#GIR:CHEM, GIR:BIOL, GIR:PHY1, , , , ,","Principles of materials science and cell biology underlying the development and implementation of biomaterials for the fabrication of medical devices/implants, including artificial organs and matrices for tissue engineering and regenerative medicine. Employs a conceptual model, the "unit cell process for analysis of the mechanisms underlying wound healing and tissue remodeling following implantation of biomaterials/devices in various organs, including matrix synthesis, degradation, and contraction. Methodology of tissue and organ regeneration. Discusses methods for biomaterials surface characterization and analysis of protein adsorption on biomaterials. Design of implants and prostheses based on control of biomaterials-tissue interactions. Comparative analysis of intact, biodegradable, and bioreplaceable implants by reference to case studies. Criteria for restoration of physiological function for tissues and organs.","2.79J#,#2.79J",,,,Y,Y,N,N,N,"I. V. Yannas, M. Spector","I. V. Yannas, M. Spector",,"03/23/17 12:00 AM","05/04/17 12:12 AM",2.79,,,"Full Term Subject",http://student.mit.edu/catalog/mHSTa.html
