Academic Year,Effective Term Code,Subject Id,Subject Code,Subject Number,Source Subject Id,Print Subject Id,Department Code,Department Name,Subject Short Title,Subject Title,Is Variable Units,Lecture Units,Lab Units,Preparation Units,Total Units,Gir Attribute,Gir Attribute Desc,Comm Req Attribute,Comm Req Attribute Desc,Write Req Attribute,Write Req Attribute Desc,Supervisor Attribute Desc,Prerequisites,Subject Description,Joint Subjects,School Wide Electives,Meets With Subjects,Equivalent Subjects,Is Offered This Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Fall Instructors,Spring Instructors,Status Change,Last Activity Date,Warehouse Load Date,Master Subject Id,Hass Attribute,Hass Attribute Desc,Term Duration,On Line Page Number
2018,2018FA,IDS.S21,IDS,S21,IDS.S21,IDS.S21,IDS,"Inst for Data, Syst, & Soc","Spec Subj Data, Sys & Society","Special Graduate Subject in Data, Systems, and Society",Y,0.00,0.00,0.00,0.00,,,,,,,,"Permission of instructor#,#, , ,","Opportunity for study of advanced topics in Data, Systems, and Society not otherwise included in the curriculum at MIT. Offerings are initiated by faculty on an ad-hoc basis subject to IDSS approval.",,,,,N,Y,Y,Y,Y,"Information: Consult IDSS Academic Office","Information: Consult IDSS Academic Office",,"05/01/17 12:00 AM","05/04/17 12:12 AM",IDS.S21,,,"Full Term Subject",http://student.mit.edu/catalog/mIDSa.html
2018,2017FA,IDS.S22,IDS,S22,IDS.S22,IDS.S22,IDS,"Inst for Data, Syst, & Soc","Spec Subj Data, Sys & Society","Special Graduate Subject in Data, Systems, and Society",Y,0.00,0.00,0.00,0.00,,,,,,,,"Permission of instructor#,#, , ,","Opportunity for study of advanced topics in Data, Systems, and Society not otherwise included in the curriculum at MIT. Offerings are initiated by faculty on an ad-hoc basis subject to IDSS approval.",,,,,N,Y,Y,Y,Y,"Consult IDSS Academic Office","Consult IDSS Academic Office",,"11/10/16 12:00 AM","05/04/17 12:12 AM",IDS.S22,,,"Full Term Subject",http://student.mit.edu/catalog/mIDSa.html
2018,2017FA,IDS.S23,IDS,S23,IDS.S23,IDS.S23,IDS,"Inst for Data, Syst, & Soc","Spec Subj Data, Sys & Society","Special Graduate Subject in Data, Systems, and Society",Y,0.00,0.00,0.00,0.00,,,,,,,,"Permission of instructor#,#, , ,","Opportunity for study of advanced topics in Data, Systems, and Society not otherwise included in the curriculum at MIT. Offerings are initiated by faculty on an ad-hoc basis subject to IDSS approval.",,,,,N,Y,Y,Y,Y,"Consult IDSS Academic Office","Consult IDSS Academic Office",,"11/10/16 12:00 AM","05/04/17 12:12 AM",IDS.S23,,,"Full Term Subject",http://student.mit.edu/catalog/mIDSa.html
2018,2017FA,IDS.S24,IDS,S24,IDS.S24,IDS.S24,IDS,"Inst for Data, Syst, & Soc","Spec Subj Data, Sys & Society","Special Graduate Subject in Data, Systems, and Society",Y,0.00,0.00,0.00,0.00,,,,,,,,"Permission of instructor#,#, , ,","Opportunity for study of advanced topics in Data, Systems, and Society not otherwise included in the curriculum at MIT. Offerings are initiated by faculty on an ad-hoc basis subject to IDSS approval.",,,,,N,Y,Y,Y,Y,"Consult IDSS Academic Office","Consult IDSS Academic Office",,"11/10/16 12:00 AM","05/04/17 12:12 AM",IDS.S24,,,"Full Term Subject",http://student.mit.edu/catalog/mIDSa.html
2018,2018FA,IDS.S30,IDS,S30,IDS.S30,IDS.S30,IDS,"Inst for Data, Syst, & Soc","Spec Subj Data, Sys & Society","Special Graduate Subject in Data, Systems, and Society",Y,0.00,0.00,0.00,0.00,,,,,,,,,"Opportunity for study of advanced topics in Data, Systems, and Society not otherwise included in the curriculum. Offerings are initiated by faculty on an ad-hoc basis subject to IDSS approval.",,,,,N,Y,Y,Y,Y,,,,"02/07/17 12:00 AM","05/04/17 12:12 AM",IDS.S30,,,"Full Term Subject",http://student.mit.edu/catalog/mIDSa.html
2018,2018FA,IDS.S31,IDS,S31,IDS.S31,IDS.S31,IDS,"Inst for Data, Syst, & Soc","Spec Subj Data, Sys & Society","Special Graduate Subject in Data, Systems, and Society",Y,0.00,0.00,0.00,0.00,,,,,,,,,"Opportunity for individual or group study of advanced topics in Data, Systems, and Society not otherwise included in the curriculum at MIT. Offerings are initiated by faculty on an ad-hoc basis subject to IDSS approval.",,,,,Y,N,Y,N,N,"Consult IDSS Academic Office","Consult IDSS Academic Office",,"12/08/16 12:00 AM","05/04/17 12:12 AM",IDS.S31,,,"Full Term Subject",http://student.mit.edu/catalog/mIDSa.html
2018,2017FA,IDS.S32,IDS,S32,IDS.S32,IDS.S32,IDS,"Inst for Data, Syst, & Soc","Spec Subj Data, Sys & Society","Special Graduate Subject in Data, Systems, and Society",Y,0.00,0.00,0.00,0.00,,,,,,,,,"Opportunity for individual or group study of advanced topics in Data, Systems, and Society not otherwise included in the curriculum at MIT. Offerings are initiated by faculty on an ad-hoc basis subject to IDSS approval.",,,,,N,Y,Y,Y,Y,"Consult IDSS Academic Office","Consult IDSS Academic Office",,"11/10/16 12:00 AM","05/04/17 12:12 AM",IDS.S32,,,"Full Term Subject",http://student.mit.edu/catalog/mIDSa.html
2018,2017FA,IDS.336,IDS,336,IDS.336,IDS.336J,IDS,"Inst for Data, Syst, & Soc","Sys Architecting: Enterprises","Systems Architecting Applied to Enterprises",N,3.00,0.00,9.00,12.00,,,,,,,,"Permission of instructor#,#, , ,","Focuses on principles and practices for architecting new and evolving sociotechnical enterprises. Includes reading and discussions of enterprise theory, contemporary challenges, and case studies of evolving enterprises. Covers frameworks and methods for ecosystem analysis, stakeholder analysis, architecture design and evaluation, and implementation strategies. Students work in small teams on projects to design a future architecture for a selected real-world enterprise.","16.855J#,#16.855J",,,,Y,N,N,Y,N,"D. Rhodes","D. Rhodes",,"11/10/16 12:00 AM","05/04/17 12:12 AM",IDS.336,,,"Full Term Subject",http://student.mit.edu/catalog/mIDSa.html
2018,2017FA,IDS.337,IDS,337,16.423,IDS.337J,IDS,"Inst for Data, Syst, & Soc","Aerospc Biomed & Life Supp Eng","Aerospace Biomedical and Life Support Engineering",N,3.00,1.00,8.00,12.00,,,,,,,,"16.400, 16.06, or permission of instructor#,#16.400, 16.06, , , , ,","Fundamentals of human performance, physiology, and life support impacting engineering design and aerospace systems. Topics include effects of gravity on the muscle, skeletal, cardiovascular, and neurovestibular systems; human/pilot modeling and human/machine design; flight experiment design; and life support engineering for extravehicular activity (EVA). Case studies of current research are presented. Assignments include a design project, quantitative homework sets, and quizzes emphasizing engineering and systems aspects.","16.423J, HST.515J#,#16.423J, HST.515J",,,,Y,N,N,Y,N,"D. J. Newman","D. J. Newman",,"11/10/16 12:00 AM","05/04/17 12:12 AM",16.423,,,"Full Term Subject",http://student.mit.edu/catalog/mIDSa.html
2018,2017FA,IDS.S01,IDS,S01,IDS.S01,IDS.S01,IDS,"Inst for Data, Syst, & Soc","Spec Subj Data, Sys & Society","Special Undergraduate Subject in Data, Systems, and Society",Y,0.00,0.00,0.00,0.00,,,,,,,,"Permission of instructor#,#, , ,","Opportunity for study of topics in Data, Systems, and Society not otherwise included in the curriculum at MIT. Offerings are initiated by faculty on an ad-hoc basis subject to IDSS approval.",,,,,N,Y,Y,Y,Y,"Consult IDSS Academic Office","Consult IDSS Academic Office",,"11/10/16 12:00 AM","05/04/17 12:12 AM",IDS.S01,,,"Full Term Subject",http://student.mit.edu/catalog/mIDSa.html
