Academic Year,Effective Term Code,Subject Id,Subject Code,Subject Number,Source Subject Id,Print Subject Id,Department Code,Department Name,Subject Short Title,Subject Title,Is Variable Units,Lecture Units,Lab Units,Preparation Units,Total Units,Gir Attribute,Gir Attribute Desc,Comm Req Attribute,Comm Req Attribute Desc,Write Req Attribute,Write Req Attribute Desc,Supervisor Attribute Desc,Prerequisites,Subject Description,Joint Subjects,School Wide Electives,Meets With Subjects,Equivalent Subjects,Is Offered This Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Fall Instructors,Spring Instructors,Status Change,Last Activity Date,Warehouse Load Date,Master Subject Id,Hass Attribute,Hass Attribute Desc,Term Duration,On Line Page Number
2018,2017FA,MAS.665,MAS,665,MAS.665,MAS.665J,MAS,"Prog in Media Arts Sciences","Development Ventures","Development Ventures",N,3.00,0.00,9.00,12.00,,,,,,,,"Permission of instructor#,#, , ,","Seminar on founding, financing, and building entrepreneurial ventures in developing nations. Challenges students to craft enduring and economically viable solutions to the problems faced by these countries.  Cases illustrate examples of both successful and failed businesses, and the difficulties in deploying and diffusing products and services through entrepreneurial action.  Explores a range of established and emerging business models, as well as new business opportunities enabled by innovations emerging from MIT labs and beyond.  Students develop a business plan executive summary suitable for submission in the MIT $100K Entrepreneurship Competition's Accelerate Contest or MIT IDEAS.","15.375J, EC.731J#,#15.375J, EC.731J",,,,Y,Y,N,N,N,"J. Bonsen, A. Pentland, C. Breazeal","J. Bonsen, A. Pentland, C. Breazeal",,"11/10/16 12:00 AM","05/04/17 12:12 AM",MAS.665,,,"Full Term Subject",http://student.mit.edu/catalog/mMASa.html
2018,2016FA,MAS.690,MAS,690,MAS.690,MAS.690,MAS,"Prog in Media Arts Sciences","Independent Study in MAS","Independent Study in Media Arts and Sciences",Y,0.00,0.00,0.00,0.00,,,,,,,"Independent Study","Permission of instructor#,#, , ,","Opportunity for independent study under regular supervision by a faculty member. Registration subject to prior arrangement of subject matter and supervision by staff.",,,,,Y,Y,N,Y,N,Staff,Staff,,"11/10/16 12:00 AM","05/04/17 12:12 AM",MAS.690,,,"Full Term Subject",http://student.mit.edu/catalog/mMASa.html
2018,2017FA,MAS.700,MAS,700,MAS.700,MAS.700,MAS,"Prog in Media Arts Sciences","News & Participatory Media","Future of News and Participatory Media",N,1.00,2.00,9.00,12.00,,,,,,,,"Permission of instructor#,#, , ,","Studies the news as an engineering challenge in light of recent, rapid, and ongoing changes to the way news is delivered and spread. Considers how we discover what events are taking place in different parts of the world and how we explain the importance of these events to readers or viewers, as well as how readers of a story respond to events. Explores the systems journalists and others have used to report and share the news.  Focuses on developing one's own tools and methods to address these challenges through weekly reporting assignments and a final project in which students build tools for journalists (professional and otherwise) to use. Limited to 18.",,,,,Y,N,N,Y,N,"E. Zuckerman","E. Zuckerman",,"11/10/16 12:00 AM","05/04/17 12:12 AM",MAS.700,,,"Full Term Subject",http://student.mit.edu/catalog/mMASa.html
2018,2017FA,MAS.712,MAS,712,MAS.712,MAS.712,MAS,"Prog in Media Arts Sciences","Creative Learning Technologies","Learning Creative Learning",N,1.00,0.00,5.00,6.00,,,,,,,,"Permission of instructor#,#, , ,","An introduction to ideas and strategies underlying the design of new learning technologies.  Focuses especially on technologies that support interest-driven, project-based, collaborative learning experiences.  Students analyze innovative learning technologies, discuss underlying educational ideas, examine design principles, create new prototypes and applications.",,,,,Y,N,N,Y,N,"M. Resnick","M. Resnick",,"11/10/16 12:00 AM","05/04/17 12:12 AM",MAS.712,,,"First Half Term Subject",http://student.mit.edu/catalog/mMASa.html
2018,2017FA,MAS.731,MAS,731,6.868,MAS.731J,MAS,"Prog in Media Arts Sciences","The Society of Mind","The Society of Mind",N,2.00,0.00,10.00,12.00,,,,,,,,"Must have read "The Society of Mind" and "The Emotion Machine"; permission of instructor#,#, , , ", , , ," , ", , ,", , , ,","Introduction to a theory that tries to explain how minds are made from collections of simpler processes. Treats such aspects of thinking as vision, language, learning, reasoning, memory, consciousness, ideals, emotions, and personality. Incorporates ideas from psychology, artificial intelligence, and computer science to resolve theoretical issues such as wholes vs. parts, structural vs. functional descriptions, declarative vs. procedural representations, symbolic vs. connectionist models, and logical vs. common-sense theories of learning. Enrollment limited.","6.868J#,#6.868J",,,,Y,N,N,Y,N,"M. Minsky","M. Minsky",,"11/10/16 12:00 AM","05/04/17 12:12 AM",6.868,,,"Full Term Subject",http://student.mit.edu/catalog/mMASa.html
2018,2016FA,MAS.750,MAS,750,MAS.750,MAS.750,MAS,"Prog in Media Arts Sciences","Human-Robot Interaction","Human-Robot Interaction",N,2.00,0.00,7.00,9.00,,,,,,,,"Permission of instructor#,#, , ,","In-depth exploration of the leading research, design principles, and technical challenges in human-robot interaction (HRI), with an emphasis on socially interactive robots. Topics include mixed-initiative interaction, multi-modal interfaces, face-to-face communication, human-robot teamwork, social learning, aspects of social cognition, and long-term interaction. Applications of these topics to the development of personal robots for health, education, elder care, domestic assistance, and other domains will be surveyed. Requires student presentations, critiques of class readings, student projects, and a final project including a publication quality paper.",,,,,N,Y,N,N,N,"C. Breazeal","C. Breazeal",,"11/10/16 12:00 AM","05/04/17 12:12 AM",MAS.750,,,"Full Term Subject",http://student.mit.edu/catalog/mMASa.html
2018,2017FA,MAS.771,MAS,771,MAS.771,MAS.771,MAS,"Prog in Media Arts Sciences","Autism Theory and Technology","Autism Theory and Technology",N,2.00,0.00,10.00,12.00,,,,,,,,"Permission of instructor#,#, , ,","Illuminates current theories about autism together with challenges faced by people on the autism spectrum. Theories in communicating, interacting socially, managing cognitive and affective overload, and achieving independent lifestyles are covered. In parallel, the course presents state-of-the-art technologies being developed for helping improve both theoretical understanding and practical outcomes.  Participants expected to meet and interact with people on the autism spectrum. Weekly reading, discussion, and a term project required. Enrollment limited.",,,,,N,N,N,Y,N,"R. Picard","R. Picard",,"11/10/16 12:00 AM","05/04/17 12:12 AM",MAS.771,,,"Full Term Subject",http://student.mit.edu/catalog/mMASa.html
2018,2016FA,MAS.790,MAS,790,MAS.790,MAS.790,MAS,"Prog in Media Arts Sciences","Independent Study in MAS","Independent Study in Media Arts and Sciences",Y,0.00,0.00,0.00,0.00,,,,,,,"Independent Study","Permission of instructor#,#, , ,","Opportunity for independent study under regular supervision by a faculty member. Registration subject to prior arrangement of subject matter and supervision by staff.",,,,,Y,Y,N,Y,N,Staff,Staff,,"11/10/16 12:00 AM","05/04/17 12:12 AM",MAS.790,,,"Full Term Subject",http://student.mit.edu/catalog/mMASa.html
2018,2014FA,MAS.491,MAS,491,MAS.491,MAS.491,MAS,"Prog in Media Arts Sciences","Independent Study","Independent Study in Media Arts and Sciences",Y,0.00,0.00,0.00,0.00,,,,,,,"Independent Study","Permission of instructor#,#, , ,","Special projects on group or individual basis. Registration subject to prior arrangement of subject matter and supervision by staff.",,,,,Y,Y,N,Y,N,Staff,Staff,,"11/10/16 12:00 AM","05/04/17 12:12 AM",MAS.491,,,"Full Term Subject",http://student.mit.edu/catalog/mMASa.html
2018,2016FA,MAS.500,MAS,500,MAS.500,MAS.500,MAS,"Prog in Media Arts Sciences","Hands on Foundations","Hands on Foundations in Media Technology",Y,0.00,0.00,0.00,0.00,,,,,,,,"Permission of instructor#,#, , ,","A series of modular classes designed to provide basic foundations in the skills needed to perform research at the Media Lab. Introduces the technology tool sets and research techniques used broadly at the Media Lab. Students choose from a series of modules that include: hardware basics, I-O and interconnecting, design and fabrication, programming, analyzing data, machine learning, signals and systems, applied control, testing and evaluation methods, documentation and communication methods. Proportional credit will be assigned to each module successfully completed.",,,,,Y,Y,N,N,N,"N. Oxman, J. Paradiso","N. Oxman, J. Paradiso",,"11/10/16 12:00 AM","05/04/17 12:12 AM",MAS.500,,,"Full Term Subject",http://student.mit.edu/catalog/mMASa.html
