Academic Year,Effective Term Code,Subject Id,Subject Code,Subject Number,Source Subject Id,Print Subject Id,Department Code,Department Name,Subject Short Title,Subject Title,Is Variable Units,Lecture Units,Lab Units,Preparation Units,Total Units,Gir Attribute,Gir Attribute Desc,Comm Req Attribute,Comm Req Attribute Desc,Write Req Attribute,Write Req Attribute Desc,Supervisor Attribute Desc,Prerequisites,Subject Description,Joint Subjects,School Wide Electives,Meets With Subjects,Equivalent Subjects,Is Offered This Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Fall Instructors,Spring Instructors,Status Change,Last Activity Date,Warehouse Load Date,Master Subject Id,Hass Attribute,Hass Attribute Desc,Term Duration,On Line Page Number
2018,2017FA,NS.21,NS,21,NS.21,NS.21,NS,"Naval Science (ROTC)","Leadership and Management","Leadership and Management",N,3.00,0.00,6.00,9.00,,,,,,,,,"Explores leadership from the military perspective taught by professors of military science from the Army, Navy and Air Force. Survey of basic principles for successfully managing and leading people, particularly in public service and the military. Develops skills in topics such as oral and written communication techniques, planning, team building, motivation, ethics, decision-making, and managing change. Relies heavily on interactive experiential classes with case studies, student presentations, role plays, and discussion. Also appropriate for non-management science majors.",,,,,Y,Y,N,N,N,"B. Masterson","B. Masterson",,"11/10/16 12:00 AM","05/04/17 12:12 AM",NS.21,,,"Full Term Subject",http://student.mit.edu/catalog/mNSa.html
2018,2017FA,NS.22,NS,22,NS.22,NS.22,NS,"Naval Science (ROTC)",Navigation,Navigation,N,3.00,0.00,6.00,9.00,,,,,,,,,"Comprehensive study of the theory, principles, and procedures of piloting and maritime navigation, including mathematics of navigation, practical work involving navigational instruments, sight reduction by <I>pro forma </I>and computerized methods, charts, publications, and voyage planning. CORTRAMID cruise recommended.",,,,,Y,N,N,Y,N,"R. Geer","R. Geer",,"11/10/16 12:00 AM","05/04/17 12:12 AM",NS.22,,,"Full Term Subject",http://student.mit.edu/catalog/mNSa.html
2018,2017FA,NS.300,NS,300,NS.300,NS.300,NS,"Naval Science (ROTC)","Naval Science Leadership Sem","Naval Science Leadership Seminar",N,0.00,2.00,4.00,6.00,,,,,,,,,"Leadership seminar addresses professional issues of military leadership, ethics, foreign policy, internal affairs and naval warfare doctrine. Subject matter centers on preparation for commissioned service in the US Naval Forces by examining the role of the junior officer in the employment of naval power. Mostly student originated, the periods include panel discussions, practical applications, guest lecturers from academia, and speakers currently serving in deployed naval forces.",,,"NS.100, NS.200, NS.400#,#NS.100, NS.200, NS.400",,Y,Y,N,Y,N,"M. Hritz","M. Hritz",,"11/10/16 12:00 AM","05/04/17 12:12 AM",NS.100,,,"Full Term Subject",http://student.mit.edu/catalog/mNSa.html
2018,2017FA,NS.42,NS,42,NS.42,NS.42,NS,"Naval Science (ROTC)","Leadership and Ethics","Leadership and Ethics",N,3.00,0.00,6.00,9.00,,,,,,,,"NS.21#,#NS.21","Analyzes ethical decision-making and leadership principles. Students read and discuss texts written by such philosophers as Aristotle, Kant, and Mill to gain familiarity with the realm of ethical theory. Students then move on to case studies in which they apply these theories to resolve moral dilemmas. Provides a basic background in the duties and responsibilities of a junior division and watch officer; strong emphasis on the junior officer's responsibilities in training, counseling, and career development. Student familiarization with equal opportunity and drug/alcohol rehabilitation programs. Principles of leadership reinforced through leadership case studies.",,,,,Y,N,N,Y,N,"J. Horten","J. Horten",,"11/10/16 12:00 AM","05/04/17 12:12 AM",NS.42,,,"Full Term Subject",http://student.mit.edu/catalog/mNSa.html
2018,2017FA,NS.43,NS,43,NS.43,NS.43,NS,"Naval Science (ROTC)","Amphibious Warfare","Amphibious Warfare",N,3.00,0.00,6.00,9.00,,,,,,,,,"This seminar course is an introduction to the fundamental concepts and history of amphibious warfare, from the classical period to the present day.  Emphasis is placed on analytical study and critical thought rather than memorization of historical facts.  Students will trace the evolution of amphibious warfare through analysis of case studies using amphibious and maneuver doctrine as a framework.  By the end of this course, students will comprehend modern employment concepts and challenges relating to the use of amphibious forces.",,,,,Y,N,N,Y,N,"M. Hritz","M. Hritz",,"11/10/16 12:00 AM","05/04/17 12:12 AM",NS.43,,,"Full Term Subject",http://student.mit.edu/catalog/mNSa.html
2018,2015FA,NS.100,NS,100,NS.100,NS.100,NS,"Naval Science (ROTC)","Naval Science Leadership Sem","Naval Science Leadership Seminar",N,0.00,2.00,2.00,4.00,,,,,,,,,"Leadership seminar addresses professional issues of military leadership, ethics, foreign policy, internal affairs and naval warfare doctrine. Subject matter centers on preparation for commissioned service in the US Naval Forces by examining the role of the junior officer in the employment of naval power. Mostly student originated, the periods include panel discussions, practical applications, guest lecturers from academia, and speakers currently serving in deployed naval forces.",,,"NS.200, NS.300, NS.400#,#NS.200, NS.300, NS.400",,Y,Y,N,Y,N,"M. Hritz","M. Hritz",,"11/10/16 12:00 AM","05/04/17 12:12 AM",NS.100,,,"Full Term Subject",http://student.mit.edu/catalog/mNSa.html
2018,2017FA,NS.11,NS,11,NS.11,NS.11,NS,"Naval Science (ROTC)","Intro to Naval Science","Introduction to Naval Science",N,3.00,0.00,3.00,6.00,,,,,,,,,"Introduction to naval science. General introduction to the US Navy and Marine Corps. Emphasizes organizational structure, warfare components, and assigned roles/missions of US Navy/USMC. Covers all aspects of naval service from its relative position within DOD, to specific warfare communities/career paths. Also includes basic elements of leadership/Navy core values. Designed to give student initial exposure to many elements of naval culture. Provides students with conceptual framework and working vocabulary. Completion of MIT NROTC Orientation Program strongly recommended.",,,,,Y,Y,N,N,N,"R. Wielgus","R. Wielgus",,"11/10/16 12:00 AM","05/04/17 12:12 AM",NS.11,,,"Full Term Subject",http://student.mit.edu/catalog/mNSa.html
2018,2018FA,NS.12,NS,12,NS.12,NS.12,NS,"Naval Science (ROTC)","Seapower and Maritime Affairs","Seapower and Maritime Affairs",N,3.00,0.00,6.00,9.00,,,,,,,,,"A study of the US Navy and the influence of sea power upon history. Incorporates both a historical and political science process to explore the major events, attitudes, personalities, and circumstances which have imbued the US Navy with its proud history and rich tradition. Deals with issues of national imperatives in peacetime as well as war, varying maritime philosophies which were interpreted into naval strategies/doctrines, budgetary concerns which shaped force realities, and the pursuit of American diplomatic objectives, concluding with the current search for direction in the post-Cold War era and beyond.",,,,,Y,N,N,Y,N,"R. Wielgus","R. Wielgus",,"05/01/17 12:00 AM","05/04/17 12:12 AM",NS.12,,,"Full Term Subject",http://student.mit.edu/catalog/mNSa.html
2018,2015FA,NS.200,NS,200,NS.200,NS.200,NS,"Naval Science (ROTC)","Naval Science Leadership Sem","Naval Science Leadership Seminar",N,0.00,2.00,2.00,4.00,,,,,,,,,"Leadership seminar addresses professional issues of military leadership, ethics, foreign policy, internal affairs and naval warfare doctrine. Subject matter centers on preparation for commissioned service in the US Naval Forces by examining the role of the junior officer in the employment of naval power. Mostly student originated, the periods include panel discussions, practical applications, guest lecturers from academia, and speakers currently serving in deployed naval forces.",,,"NS.100, NS.300, NS.400#,#NS.100, NS.300, NS.400",,Y,Y,N,Y,N,"M. Hritz","M. Hritz",,"11/10/16 12:00 AM","05/04/17 12:12 AM",NS.100,,,"Full Term Subject",http://student.mit.edu/catalog/mNSa.html
2018,2018FA,NS.31,NS,31,NS.31,NS.31,NS,"Naval Science (ROTC)","Naval Ships Systems I: Engir","Naval Ships Systems I: Engineering",N,3.00,0.00,6.00,9.00,,,,,,,,,"Lecture series on technological fundamentals of applied and planned naval ships Systems from an engineering viewpoint. Topics include stability, propulsion, ship control and systems.",,,,,Y,Y,N,N,N,"H. Nowak","H. Nowak",,"05/01/17 12:00 AM","05/04/17 12:12 AM",NS.31,,,"Full Term Subject",http://student.mit.edu/catalog/mNSa.html
