Academic Year,Effective Term Code,Subject Id,Subject Code,Subject Number,Source Subject Id,Print Subject Id,Department Code,Department Name,Subject Short Title,Subject Title,Is Variable Units,Lecture Units,Lab Units,Preparation Units,Total Units,Gir Attribute,Gir Attribute Desc,Comm Req Attribute,Comm Req Attribute Desc,Write Req Attribute,Write Req Attribute Desc,Supervisor Attribute Desc,Prerequisites,Subject Description,Joint Subjects,School Wide Electives,Meets With Subjects,Equivalent Subjects,Is Offered This Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Fall Instructors,Spring Instructors,Status Change,Last Activity Date,Warehouse Load Date,Master Subject Id,Hass Attribute,Hass Attribute Desc,Term Duration,On Line Page Number
2018,2017FA,SCM.284,SCM,284,SCM.284,SCM.284,SCM,"Supply Chain Management Progra","Humanitarian Logistics Project","Humanitarian Logistics Project",N,2.00,0.00,1.00,3.00,,,,,,,,"SCM.283#,#SCM.283","Explores how logistics management principles apply in dynamic, resource-constrained contexts, ranging from humanitarian crisis response to international development. Combines interactive presentations, practical exercises, case discussions, and guest speakers from humanitarian organizations. Provides an introduction to supply chain concepts and the humanitarian context to accommodate students from various backgrounds. Team projects utilize data and information from the UN, NGOs, government agencies, and the private sector.",,,,,Y,N,N,Y,N,"J. Goentzel","J. Goentzel",,"11/10/16 12:00 AM","05/04/17 12:12 AM",SCM.284,,,"Second Half Term Subject",http://student.mit.edu/catalog/mSCMa.html
2018,2017FA,SCM.290,SCM,290,SCM.290,SCM.290,SCM,"Supply Chain Management Progra","Sustainable Supply Chain Mgmt","Sustainable Supply Chain Management",N,3.00,0.00,3.00,6.00,,,,,,,,,"Introduces operational aspects of sustainable supply chains. Focuses on analyzing the implications of environmental considerations in logistics decisions. Topics include carbon footprint, sustainable logistics, closed-loop supply chains, reverse logistics, and sustainable supply chain strategy. Includes a team project that evaluates the sustainable supply chain strategy of an industry or a publicly-traded company.",,,,,Y,N,N,Y,N,"J. Velazquez","J. Velazquez",,"11/10/16 12:00 AM","05/04/17 12:12 AM",SCM.290,,,"First Half Term Subject",http://student.mit.edu/catalog/mSCMa.html
2018,2017FA,SCM.301,SCM,301,SCM.301,SCM.301,SCM,"Supply Chain Management Progra","Independent Study in SCM","Independent Study: Supply Chain Management",Y,0.00,0.00,0.00,0.00,,,,,,,"Independent Study",,"Opportunity for research in Supply Chain Management and Logistics on an individual or group basis. Registration subject to prior arrangement and supervision by staff.",,,,,N,Y,Y,Y,N,"B. Arntzen","B. Arntzen",,"11/10/16 12:00 AM","05/04/17 12:12 AM",SCM.301,,,"Full Term Subject",http://student.mit.edu/catalog/mSCMa.html
2018,2017FA,SCM.302,SCM,302,SCM.302,SCM.302,SCM,"Supply Chain Management Progra","Independent Study in SCM","Independent Study: Supply Chain Management",Y,0.00,0.00,0.00,0.00,,,,,,,"Independent Study",,"Opportunity for research in Supply Chain Management and Logistics on an individual or group basis. Registration subject to prior arrangement and supervision by staff.",,,,,N,Y,Y,Y,N,"B. Arntzen","B. Arntzen",,"11/10/16 12:00 AM","05/04/17 12:12 AM",SCM.302,,,"Full Term Subject",http://student.mit.edu/catalog/mSCMa.html
2018,2017FA,SCM.803,SCM,803,SCM.803,SCM.803,SCM,"Supply Chain Management Progra","SC Leadership Workshop","Supply Chain Leadership Workshop",N,2.00,0.00,1.00,3.00,,,,,,,,,"Designed to enhance your ability to manage and lead in challenging times through a series of self assessment instruments, case studies, and workshops. The objectives are to increase awareness of your strengths and weaknesses as a leader, provide a battery of instruments and surveys to help one understand the way one operates in an organizational setting, and offer strategies and tips on how to leverage one's strengths and work on areas in need of development. Restricted to students in the SCM program.",,,,,Y,Y,N,N,N,"B. Arntzen","B. Arntzen",,"11/10/16 12:00 AM","05/04/17 12:12 AM",SCM.803,,,"Partial Term Subject",http://student.mit.edu/catalog/mSCMa.html
2018,2017FA,SCM.S90,SCM,S90,SCM.S90,SCM.S90,SCM,"Supply Chain Management Progra","Special Subject: SCM","Special Subject: Supply Chain Management",Y,0.00,0.00,0.00,0.00,,,,,,,,,"Opportunity for study of topics in Supply Chain Management not otherwise included in the curriculum.",,,,,N,Y,Y,Y,N,"B. Arntzen","B. Arntzen",,"11/10/16 12:00 AM","05/04/17 12:12 AM",SCM.S90,,,"Full Term Subject",http://student.mit.edu/catalog/mSCMa.html
2018,2017FA,SCM.S91,SCM,S91,SCM.S91,SCM.S91,SCM,"Supply Chain Management Progra","Special Subject: SCM","Special Subject: Supply Chain Management",Y,0.00,0.00,0.00,0.00,,,,,,,,,"Opportunity for study of topics in Supply Chain Management not otherwise included in the curriculum.",,,,,N,Y,Y,Y,N,"B. Arntzen","B. Arntzen",,"11/10/16 12:00 AM","05/04/17 12:12 AM",SCM.S91,,,"Full Term Subject",http://student.mit.edu/catalog/mSCMa.html
2018,2017FA,SCM.THG,SCM,THG,SCM.THG,SCM.THG,SCM,"Supply Chain Management Progra","Graduate Thesis","Graduate Thesis",Y,0.00,0.00,0.00,0.00,,,,,,,"Grad Thesis",,"Program of research leading to the writing of a master's thesis on a relevant supply chain management topic. Arranged by the student with a member of the Center for Transportation & Logistics (CTL) research staff.",,,,,Y,Y,Y,Y,Y,"B. Arntzen","B. Arntzen",,"11/10/16 12:00 AM","05/04/17 12:12 AM",SCM.THG,,,"Full Term Subject",http://student.mit.edu/catalog/mSCMa.html
2018,2017FA,SCM.250,SCM,250,SCM.250,SCM.250,SCM,"Supply Chain Management Progra","Analytical Methods for SCM","Analytical Methods for Supply Chain Management",N,3.00,0.00,3.00,6.00,,,,,,,,,"Covers the primary methods of analysis required for supply chain management planning. The class solves various practical problems using simulation, linear programming, integer programming, regression, and other techniques. The work is primarily team based with a final exam. Restricted to students in the SCM program.",,,,,Y,Y,N,N,N,"B. Arntzen","B. Arntzen",,"11/10/16 12:00 AM","05/04/17 12:12 AM",SCM.250,,,"Partial Term Subject",http://student.mit.edu/catalog/mSCMa.html
2018,2017FA,SCM.251,SCM,251,SCM.251,SCM.251,SCM,"Supply Chain Management Progra","Supply Chain Financal Analysis","Supply Chain Financial Analysis",N,4.00,0.00,5.00,9.00,,,,,,,,"[SCM.260] or permission of instructor#,#[SCM.260] , , , ,","Explores the linkages between supply chain management and corporate finance. Emphasizes how the supply chain creates value for both the shareholders of the company and for the stakeholders affected by the company's operations. Sessions combine lectures and data-rich cases from the manufacturer, distributor, and retailer perspective. Topics include accounting fundamentals, financial analysis, activity-based costing, working capital management, cash flow projections, capital budgeting, and sustainability.",,,,,Y,Y,N,N,N,"J. Goentzel, J. Rice","J. Goentzel, J. Rice",,"11/10/16 12:00 AM","05/04/17 12:12 AM",SCM.251,,,"Full Term Subject",http://student.mit.edu/catalog/mSCMa.html
