Academic Year,Effective Term Code,Subject Id,Subject Code,Subject Number,Source Subject Id,Print Subject Id,Department Code,Department Name,Subject Short Title,Subject Title,Is Variable Units,Lecture Units,Lab Units,Preparation Units,Total Units,Gir Attribute,Gir Attribute Desc,Comm Req Attribute,Comm Req Attribute Desc,Write Req Attribute,Write Req Attribute Desc,Supervisor Attribute Desc,Prerequisites,Subject Description,Joint Subjects,School Wide Electives,Meets With Subjects,Equivalent Subjects,Is Offered This Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Fall Instructors,Spring Instructors,Status Change,Last Activity Date,Warehouse Load Date,Master Subject Id,Hass Attribute,Hass Attribute Desc,Term Duration,On Line Page Number
2018,2018FA,SWE.006,SWE,006,6.902,,SWE,,"Engr Innovation and Design","Engineering Innovation and Design",N,2.00,1.00,3.00,6.00,,,,,,,,,"Project-based seminar in innovative design thinking develops students' ability to conceive, implement, and evaluate successful projects in any engineering discipline. Lectures focus on the iterative design process and techniques to enhance creative analysis. Students use this process to design and implement robust voice recognition applications using a simple web-based system. They also give presentations and receive feedback to sharpen their communication skills for high emotional and intellectual impact. Guest lectures illustrate multidisciplinary approaches to design thinking.",,"2.723, 6.902, 16.662",,,Y,Y,N,Y,N,"B. Kotelly","B. Kotelly",,"03/08/17 12:00 AM","05/04/17 12:12 AM",6.902,,,"Full Term Subject",http://student.mit.edu/catalog/mSWEa.html
2018,2018FA,SWE.007,SWE,007,6.911,,SWE,,"Engineering Leadership Lab","Engineering Leadership Lab",N,0.00,2.00,1.00,3.00,,,,,,,,"[6.912] or permission of instructor#,#[6.912] , , , ,","Exposes students to leadership frameworks, models and cases within an engineering context, in an interactive, practice-based environment, honing leadership and teamwork skills. Students participate in guided reflections on individual and team successes, and discover opportunities for improvement in controlled settings. Activities include design-implement activities, role-plays, simulations, small group discussions, and performance and peer assessments by and of other students. Content throughout the term is frequently student-driven. First year Gordon Engineering Leadership Program (GEL) students register for 6.911. Second year GEL Program students register for 6.913. Preference to students enrolled in the Bernard M. Gordon-MIT Engineering Leadership Program.",,"6.911, 16.650","6.913J, 16.667J#,#6.913J, 16.667J",,Y,Y,N,Y,N,"L. McGonagle, J. Feiler","L. McGonagle, J. Feiler",,"03/28/17 12:00 AM","05/04/17 12:12 AM",6.913,,,"Full Term Subject",http://student.mit.edu/catalog/mSWEa.html
2018,2018FA,SWE.008,SWE,008,6.912,,SWE,,"Engineering Leadership","Engineering Leadership",N,1.00,0.00,2.00,3.00,,,,,,,,"[6.911] or permission of instructor#,#[6.911] , , , ,","Exposes students to the models and methods of engineering leadership within the contexts of conceiving, designing, implementing and operating products, processes and systems. Introduces the Capabilities of Effective Engineering Leaders, and models and theories related to the capabilities. Discusses the appropriate times and reasons to use particular models to deliver engineering success. Includes occasional guest speakers or panel discussions. May be repeated for credit once with permission of instructor. Preference to first-year students in the Gordon Engineering Leadership Program.",,"6.912, 16.651",,,Y,Y,N,Y,N,"J. Magarian, J. Schindall, L. McGonagle","J. Magarian, J. Schindall, L. McGonagle",,"03/08/17 12:00 AM","05/04/17 12:12 AM",6.912,,,"Full Term Subject",http://student.mit.edu/catalog/mSWEa.html
2018,2018FA,SWE.009,SWE,009,6.913,,SWE,,"Engineering Leadership Lab","Engineering Leadership Lab",N,0.00,2.00,4.00,6.00,,,,,,,,"6.911#,#6.911","Exposes students to leadership frameworks, models and cases within an engineering context, in an interactive, practice-based environment, honing leadership and teamwork skills. Students participate in guided reflections on individual and team successes, and discover opportunities for improvement in controlled settings. Activities include design-implement activities, role-plays, simulations, small group discussions, and performance and peer assessments by and of other students. Content throughout the term is frequently student-driven. First year Gordon Engineering Leadership Program (GEL) students register for 6.911. Second year GEL Program students register for 6.913. Preference to students enrolled in the second year of the Gordon-MIT Engineering Leadership Program.",,"6.913, 16.667","6.911J, 16.650J#,#6.911J, 16.650J",,Y,Y,N,Y,N,"L. McGonagle, J. Feiler","L. McGonagle, J. Feiler",,"04/05/17 12:00 AM","05/04/17 12:12 AM",6.913,,,"Full Term Subject",http://student.mit.edu/catalog/mSWEa.html
2018,2018FA,SWE.010,SWE,010,IDS.332,,SWE,,"Engr Sys Analysis for Design","Engineering Systems Analysis for Design",N,3.00,0.00,9.00,12.00,,,,,,,,"Permission of instructor#,#, , ,","Covers theory and methods to identify, value, and implement flexibility in design, also known as "real options." Topics include definition of uncertainties, simulation of performance for scenarios, screening models to identify desirable flexibility, decision and lattice analysis, and multidimensional economic evaluation. Students demonstrate proficiency through an extended application to a systems design of their choice. Provides a complement to research or thesis projects. Meets with IDS.333 first half of term.",,"1.146, 16.861, IDS.332",,,Y,Y,N,N,N,"R. de Neufville","R. de Neufville",,"01/03/17 12:00 AM","05/04/17 12:12 AM",IDS.332,,,"Full Term Subject",http://student.mit.edu/catalog/mSWEa.html
2018,2018FA,SWE.011,SWE,011,10.01,,SWE,,"Ethics for Engineers","Ethics for Engineers",N,2.00,0.00,4.00,6.00,,,,,,,,,"Integrates classical readings that provide an overview of ethics with a survey of case studies that focus on ethical problems arising in the practice of engineering. Readings taken from a variety of sources, such as Aristotle, Machiavelli, Bacon, Hobbes, Locke, the Founding Fathers, and the Bible. Case studies include written analyses and films that address engineering disasters, biotechnology, court cases, ethical codes, and the ultimate scope and aims of engineering. Students taking independent inquiry version 6.9041 expand the scope of their term project.",,"1.082, 2.900, 6.904, 10.01, 22.014","6.9041#,#6.9041",,Y,Y,N,Y,N,"D. Doneson, B. L. Trout","D. Doneson, B. L. Trout",,"03/28/17 12:00 AM","05/04/17 12:12 AM",10.01,,,"Full Term Subject",http://student.mit.edu/catalog/mSWEa.html
2018,2018FA,SWE.012,SWE,012,3.021,,SWE,,"Intro to Modeling & Simulation","Introduction to Modeling and Simulation",N,4.00,0.00,8.00,12.00,REST,"Rest Elec in Sci & Tech",,,,,,"18.03, 3.016, or permission of instructor#,#18.03, 3.016, , , , ,","Basic concepts of computer modeling and simulation in science and engineering. Uses techniques and software for simulation, data analysis and visualization. Continuum, mesoscale, atomistic and quantum methods used to study fundamental and applied problems in physics, chemistry, materials science, mechanics, engineering, and biology. Examples drawn from the disciplines above are used to understand or characterize complex structures and materials, and complement experimental observations.",,"1.021, 3.021, 10.333, 22.00",,,Y,N,N,Y,N,"M. Buehler","M. Buehler",,"03/16/17 12:00 AM","05/04/17 12:12 AM",3.021,,,"Full Term Subject",http://student.mit.edu/catalog/mSWEa.html
2018,2017FA,SWE.015,SWE,015,2.96,,SWE,,"Management in Engineering","Management in Engineering",N,3.00,1.00,8.00,12.00,,,,,,,,,"Introduction and overview of engineering management. Financial principles, management of innovation, technical strategy and best management practices. Case study method of instruction emphasizes participation in class discussion. Focus is on the development of individual skills and management tools. Restricted to juniors and seniors.",,"2.96, 6.930, 10.806, 16.653",,,Y,Y,N,N,N,"H. S. Marcus, J.-H. Chun","H. S. Marcus, J.-H. Chun",,"11/10/16 12:00 AM","05/04/17 12:12 AM",2.96,,,"Full Term Subject",http://student.mit.edu/catalog/mSWEa.html
2018,2018FA,SWE.016,SWE,016,6.914,,SWE,,"Project Engineering","Project Engineering",N,1.00,2.00,1.00,4.00,,,,,,,,"6.911 or permission of instructor#,#6.911 , , , ,","Students attend a four-day off-site workshop where an introduction to basic principles, methods, and tools for project management in a realistic context are covered. In teams, students create a plan for a project of their choice in one of several areas, including aircraft modification, factory automation, enterprise software, flood prevention engineering, solar farm engineering, among others. Develops skills applicable to the management of complex development projects. Topics include cost-benefit analysis, resource and cost estimation, and project control and delivery, which are practiced during an experimental, team-based activity. Case studies highlight projects in both hardware/construction and software. Preference to students in the Bernard M. Gordon-MIT Engineering Leadership Program.",,"6.914, 16.669",,,Y,N,Y,N,N,"O. de Weck, J. Feiler, L. McGonagle","O. de Weck, J. Feiler, L. McGonagle",,"02/27/17 12:00 AM","05/04/17 12:12 AM",6.914,,,"Full Term Subject",http://student.mit.edu/catalog/mSWEa.html
2018,2014FA,SWE.017,SWE,017,2.EPE,,SWE,,"UPOP Engineer Practice Exp","UPOP Engineering Practice Experience",N,0.00,0.00,1.00,1.00,,,,,,,,"2.EPW or permission of instructor#,#2.EPW , , , ,","Provides sophomores with guided practice in finding opportunities and excelling in the world of practice. Building on the skills and relationships acquired in the Engineering Practice Workshop, students receive coaching to articulate goals, invoke the UPOP network of mentors and employers, identify and pursue opportunities and negotiate terms of their summer assignment. Students complete a 10-12 week internship, which includes filing three progress reports, conducting one informational interview, and possibly hosting a site visit by MIT staff.  Returning to campus as juniors, UPOP students take part in reflective exercises that aid assimilation of learning objectives and reinforce the cognitive link between all aspects of the UPOP experience and disciplinary fields of study. Sequence begins in the spring of sophomore year and ends in the fall of junior year.",,"1.EPE, 2.EPE, 3.EPE, 6.EPE, 10.EPE, 16.EPE, 22.EPE",,,Y,Y,N,Y,N,Staff,Staff,,"11/10/16 12:00 AM","05/04/17 12:12 AM",2.EPE,,,"Full Term Subject",http://student.mit.edu/catalog/mSWEa.html
