Academic Year,Effective Term Code,Subject Id,Subject Code,Subject Number,Source Subject Id,Print Subject Id,Department Code,Department Name,Subject Short Title,Subject Title,Is Variable Units,Lecture Units,Lab Units,Preparation Units,Total Units,Gir Attribute,Gir Attribute Desc,Comm Req Attribute,Comm Req Attribute Desc,Write Req Attribute,Write Req Attribute Desc,Supervisor Attribute Desc,Prerequisites,Subject Description,Joint Subjects,School Wide Electives,Meets With Subjects,Equivalent Subjects,Is Offered This Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Fall Instructors,Spring Instructors,Status Change,Last Activity Date,Warehouse Load Date,Master Subject Id,Hass Attribute,Hass Attribute Desc,Term Duration,On Line Page Number
2018,2015FA,WGS.101,WGS,101,WGS.101,WGS.101,WGS,"Women's and Gender Studies","Intro Women's & Gender Studies","Introduction to Women's and Gender Studies",N,3.00,0.00,9.00,12.00,,,CIH,"Communication Intensive HASS",,,,,"Drawing on multiple disciplines - such as literature, history, economics, psychology, philosophy, political science, anthropology, media studies and the arts - to examine cultural assumptions about sex, gender, and sexuality. Integrates analysis of current events through student presentations, aiming to increase awareness of contemporary and historical experiences of women, and of the ways sex and gender interact with race, class, nationality, and other social identities. Students are introduced to recent scholarship on gender and its implications for traditional disciplines.",,,,,Y,Y,N,Y,N,"A. Walsh","A. Walsh",,"11/10/16 12:00 AM","05/04/17 12:12 AM",WGS.101,HH,"HASS Humanities","Full Term Subject",http://student.mit.edu/catalog/mWGSa.html
2018,2018FA,WGS.109,WGS,109,WGS.109,WGS.109,WGS,"Women's and Gender Studies","Global Feminism","Women and Global Activism in Media and Politics",N,3.00,0.00,9.00,12.00,,,CIH,"Communication Intensive HASS",,,,,"An interdisciplinary subject that examines questions of feminism, international women's issues, and globalization through the study of novels, films, critical essays, painting and music. Considers how women redefine the notions of community and nation, how development affects their lives, and how access to the internet and to the production industry impacts women's lives. Primary topics of interest include transformations of traditional values, social change, gender role distribution, identity formation, migration flows, globalization and development, popular culture, urban life, cyber-culture, activism, and human rights. Limited to 25 when Writing Tutor is assigned to the class. Otherwise, limited to 18.",,,,,Y,N,N,Y,N,"A. Sur","A. Sur",,"03/24/17 12:00 AM","05/04/17 12:12 AM",WGS.109,HH,"HASS Humanities","Full Term Subject",http://student.mit.edu/catalog/mWGSa.html
2018,2018FA,WGS.110,WGS,110,WGS.110,WGS.110J,WGS,"Women's and Gender Studies","Sexual and Gender Identities","Sexual and Gender Identities",N,3.00,0.00,9.00,12.00,,,,,,,,,"Provides an introduction to the history of gender, sex, and sexuality in the modern United States, from the end of the 19th century to the present. Surveys historical approaches to the field, emphasizing the changing nature of sexual and gender identities over time. Traces attempts to control, construct, and contain sexual and gender identities. Examines the efforts of those who worked to resist, reject, and reform institutionalized heterosexuality and mainstream configurations of gendered power.","21H.108J#,#21H.108J",,,,Y,Y,N,N,N,"C. Horan","C. Horan",,"12/12/16 12:00 AM","05/04/17 12:12 AM",WGS.110,HH,"HASS Humanities","Full Term Subject",http://student.mit.edu/catalog/mWGSa.html
2018,2018FA,WGS.111,WGS,111,WGS.111,WGS.111J,WGS,"Women's and Gender Studies","Gender and Media Studies","Gender and Media Studies",N,3.00,0.00,9.00,12.00,,,,,,,,,"Examines representations of race, gender, and sexual identity in the media. Considers issues of authorship, spectatorship, and the ways in which various media (film, television, print journalism, advertising) enable, facilitate, and challenge these social constructions in society. Studies the impact of new media and digital media through analysis of gendered and racialized language and embodiment online in blogs and vlogs, avatars, and in the construction of cyberidentities. Provides introduction to feminist approaches to media studies by drawing from work in feminist film theory, cultural studies, gender and politics, and cyberfeminism.","CMS.619J#,#CMS.619J",,,,Y,Y,N,N,N,"K. Surkan","K. Surkan",,"04/26/17 12:00 AM","05/04/17 12:12 AM",WGS.111,HH,"HASS Humanities","Full Term Subject",http://student.mit.edu/catalog/mWGSa.html
2018,2017FA,WGS.115,WGS,115,WGS.115,WGS.115,WGS,"Women's and Gender Studies","Gender and Technology","Gender and Technology",N,3.00,0.00,9.00,12.00,,,,,,,,,"Considers a wide range of issues related to the contemporary and historical use of technology, the development of new technologies, and the cultural representation of technology, including the role women have played in the development of technology and the effect of technological change on the roles of women and ideas of gender. Discusses the social implications of technology and its understanding and deployment in different cultural contexts. Investigates the relationships between technology and identity categories, such as gender, race, class, and sexuality. Examines how technology offers possibilities for new social relations and how to evaluate them.",,,,,N,Y,N,N,N,Staff,Staff,,"11/10/16 12:00 AM","05/04/17 12:12 AM",WGS.115,HH,"HASS Humanities","Full Term Subject",http://student.mit.edu/catalog/mWGSa.html
2018,2015FA,WGS.125,WGS,125,CMS.616,WGS.125J,WGS,"Women's and Gender Studies","Games and Culture","Games and Culture",N,3.00,0.00,9.00,12.00,,,,,,,,,"Examines the social, cultural, economic, and political aspects of digital games. Topics include the culture of gameplay, gaming styles, communities, spectatorship and performance, gender and race within digital gaming, and the politics and economics of production processes, including co-creation and intellectual property. Students taking graduate version complete additional readings and assignments.","21W.768J, CMS.616J#,#21W.768J, CMS.616J",,"CMS.868#,#CMS.868",,Y,Y,N,N,N,"T. L. Taylor","T. L. Taylor",,"11/10/16 12:00 AM","05/04/17 12:12 AM",CMS.616,HS,"HASS Social Sciences","Full Term Subject",http://student.mit.edu/catalog/mWGSa.html
2018,2018FA,WGS.140,WGS,140,21L.504,WGS.140J,WGS,"Women's and Gender Studies","Race and Identity in Amer Lit","Race and Identity in American Literature",N,3.00,0.00,9.00,12.00,,,,,,,,"Permission of instructor#,#, , ,","Questions posed by the literature of the Americas about the relationship of race and gender to authorship, audience, culture, ethnicity, and aesthetics. Social conditions and literary histories that shape the politics of identity in American literature. Specific focus varies each term. Previously taught topics include Immigrant Stories, African American Literature, and Asian American Literature. May be repeated for credit with permission of instructor if the content differs.","21L.504J#,#21L.504J",,,,Y,N,N,Y,N,"J. Terrones","J. Terrones",,"04/19/17 12:00 AM","05/04/17 12:12 AM",21L.504,HH,"HASS Humanities","Full Term Subject",http://student.mit.edu/catalog/mWGSa.html
2017,2016FA,WGS.175,WGS,175,21A.304,WGS.175J,WGS,"Women's and Gender Studies","Reproductive Politics & Tech","Reproductive Politics and Technologies",N,3.00,0.00,9.00,12.00,,,,,,,,,"Examines through comparative case studies how cultural, moral, and political values give meaning to human reproductive events and inform people's uses of medical technologies. Focuses on how technological mediations of fertility, pregnancy and birth (e.g., contraception, abortion, in vitro fertilization, prenatal testing, etc.) offer opportunities for the formation of gender and kinship, the reproduction of social inequalities, and the implementation of national population and international development agendas. Considers how bioethical evaluation of reproductive technologies might take into account the motivations and experiences of actual users.","21A.304J#,#21A.304J",,,,N,Y,N,N,N,"H. Paxson","H. Paxson","(2018: Removed joint child)","12/12/16 12:00 AM","05/04/17 12:12 AM",21A.304,HS,"HASS Social Sciences","Full Term Subject",http://student.mit.edu/catalog/mWGSa.html
2018,2017FA,WGS.190,WGS,190,24.912,WGS.190J,WGS,"Women's and Gender Studies","Intro to Black Studies","Black Matters:  Introduction to Black Studies",N,3.00,0.00,9.00,12.00,,,CIH,"Communication Intensive HASS",,,,,"Interdisciplinary survey of people of African descent that draws on the overlapping approaches of history, literature, anthropology, legal studies, media studies, performance, linguistics, and creative writing. Connects the experiences of African-Americans and of other American minorities, focusing on social, political, and cultural histories, and on linguistic patterns. Includes lectures, discussions, workshops, and required field trips that involve minimal cost to students.","24.912J, 21H.106J, 21L.008J, 21W.741J#,#24.912J, 21H.106J, 21L.008J, 21W.741J",,,,Y,N,N,Y,N,"M. Degraff","M. Degraff",,"11/10/16 12:00 AM","05/04/17 12:12 AM",24.912,"HA,HH","Arts + Humanities","Full Term Subject",http://student.mit.edu/catalog/mWGSa.html
2018,2018FA,WGS.220,WGS,220,WGS.220,WGS.220J,WGS,"Women's and Gender Studies","Wmn & Gndr Mid East & N Africa","Women and Gender in the Middle East and North Africa",N,3.00,0.00,9.00,12.00,,,,,,,,,"Provides an overview of key issues and themes in the study of women and gender relations in the Middle East and North Africa. Includes readings from a variety of disciplines, e.g., history, anthropology, sociology, literature, religious studies, and media studies. Addresses themes such as the relationship between the concepts of nation and gender; women's citizenship; Middle Eastern women's activism and the involvement of their Western "sisters" to this movement; gendered interpretations of the Qur'an and the example of the Prophet Muhammad; and the three H's of Orientalism (hijab, harem, and hamam).","21H.263J#,#21H.263J",,,,Y,N,N,Y,N,"L. Eckmekcioglu","L. Eckmekcioglu",,"03/15/17 12:00 AM","05/04/17 12:12 AM",WGS.220,HH,"HASS Humanities","Full Term Subject",http://student.mit.edu/catalog/mWGSa.html
