Academic Year,Subject Id,Subject Code,Subject Number,Print Subject Id,Subject Short Title,Subject Title,Total Units,Is Offered This Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term
2018,IDS.S21,IDS,S21,IDS.S21,"Spec Subj Data, Sys & Society","Special Graduate Subject in Data, Systems, and Society",0.00,N,Y,Y,Y,Y
2018,IDS.S22,IDS,S22,IDS.S22,"Spec Subj Data, Sys & Society","Special Graduate Subject in Data, Systems, and Society",0.00,N,Y,Y,Y,Y
2018,IDS.S23,IDS,S23,IDS.S23,"Spec Subj Data, Sys & Society","Special Graduate Subject in Data, Systems, and Society",0.00,N,Y,Y,Y,Y
2018,IDS.S24,IDS,S24,IDS.S24,"Spec Subj Data, Sys & Society","Special Graduate Subject in Data, Systems, and Society",0.00,N,Y,Y,Y,Y
2018,IDS.S30,IDS,S30,IDS.S30,"Spec Subj Data, Sys & Society","Special Graduate Subject in Data, Systems, and Society",0.00,N,Y,Y,Y,Y
2018,IDS.S31,IDS,S31,IDS.S31,"Spec Subj Data, Sys & Society","Special Graduate Subject in Data, Systems, and Society",0.00,Y,N,Y,N,N
2018,IDS.S32,IDS,S32,IDS.S32,"Spec Subj Data, Sys & Society","Special Graduate Subject in Data, Systems, and Society",0.00,N,Y,Y,Y,Y
2018,IDS.336,IDS,336,IDS.336J,"Sys Architecting: Enterprises","Systems Architecting Applied to Enterprises",12.00,Y,N,N,Y,N
2018,IDS.337,IDS,337,IDS.337J,"Aerospc Biomed & Life Supp Eng","Aerospace Biomedical and Life Support Engineering",12.00,Y,N,N,Y,N
2018,IDS.S01,IDS,S01,IDS.S01,"Spec Subj Data, Sys & Society","Special Undergraduate Subject in Data, Systems, and Society",0.00,N,Y,Y,Y,Y
2018,IDS.S10,IDS,S10,IDS.S10,"Spec Subj Data, Sys & Society","Special Undergraduate Subject in Data, Systems, and Society",0.00,N,Y,Y,Y,Y
2018,IDS.S11,IDS,S11,IDS.S11,"Spec Subj Data, Sys & Society","Special Undergraduate Subject in Data, Systems, and Society",0.00,N,Y,Y,Y,Y
2018,IDS.S20,IDS,S20,IDS.S20,"Spec Subj Data, Sys & Society","Special Graduate Subject in Data, Systems, and Society",0.00,N,Y,Y,Y,Y
2018,IDS.250,IDS,250,IDS.250J,"Theory of Operations Mgmt","The Theory of Operations Management",12.00,Y,N,N,Y,N
2018,IDS.305,IDS,305,IDS.305J,"Business& Operations Analytics","Business and Operations Analytics",6.00,Y,N,N,Y,N
2018,IDS.330,IDS,330,IDS.330,"Real Optns for Prod & Sys Dsgn","Real Options for Product and Systems Design",6.00,Y,N,N,Y,N
2018,IDS.332,IDS,332,IDS.332,"Engr Sys Analysis for Design","Engineering Systems Analysis for Design",12.00,Y,Y,N,N,N
2018,IDS.333,IDS,333,IDS.333,"Risk and Decision Analysis","Risk and Decision Analysis",6.00,Y,Y,N,N,N
2018,IDS.THG,IDS,THG,IDS.THG,"Graduate Thesis","Graduate Thesis",0.00,Y,Y,Y,Y,Y
2018,IDS.UR,IDS,UR,IDS.UR,"Undergraduate Research","Undergraduate Research",0.00,Y,Y,Y,Y,Y
2018,IDS.URG,IDS,URG,IDS.URG,"Undergraduate Research","Undergraduate Research",0.00,Y,Y,Y,Y,Y
2018,IDS.412,IDS,412,IDS.412J,"Science, Tech, & Public Policy","Science, Technology, and Public Policy",12.00,Y,Y,N,N,N
2017,IDS.430,IDS,430,IDS.430J,"Environmental Law: Pollution","Environmental Law, Policy, and Economics: Pollution Prevention and Control",12.00,Y,Y,N,N,N
2017,IDS.431,IDS,431,IDS.431J,"Regulatn of Chem, Rad, Biotech","Regulation of Chemicals, Radiation, and Biotechnology",12.00,N,N,N,Y,N
2018,IDS.435,IDS,435,IDS.435,"Law, Technology, & Pub Policy","Law, Technology, and Public Policy",12.00,Y,N,N,Y,N
2018,IDS.411,IDS,411,IDS.411,"Concepts & Res in Tech & Pol","Concepts and Research in Technology and Policy",6.00,Y,N,N,Y,N
2018,IDS.449,IDS,449,IDS.449,"Technology Policy Internship","Technology Policy Internship Seminar",3.00,Y,Y,N,N,N
