1#,#Civil and Environmental Engineering
2#,#Mechanical Engineering
3#,#Materials Science and Engineering
4#,#Architecture
5#,#Chemistry
6#,#Electrical Engineering and Computer Science
7#,#Biology
8#,#Physics
9#,#Brain and Cognitive Sciences
10#,#Chemical Engineering
11#,#Urban Studies and Planning
12#,#Earth, Atmospheric, and Planetary Sciences
14#,#Economics
15#,#Management
16#,#Aeronautics and Astronautics
17#,#Political Science
18#,#Mathematics
20#,#Biological Engineering
21#,#Humanities
21A#,#Anthropology
CMS#,#Comparative Media Studies
21W#,#Writing
21G#,#Global Studies and Languages
21H#,#History
21L#,#Literature
21M#,#Music and Theater Arts
WGS#,#Women's and Gender Studies
22#,#Nuclear Science and Engineering
24#,#Linguistics and Philosophy
CC#,#Concourse Program
CSB#,#Computational and Systems Biology
EC#,#Edgerton Center
EM#,#Engineering Management
ES#,#Experimental Study Group
HST#,#Health Sciences and Technology
IDS#,#Institute for Data, Systems and Society
MAS#,#Media Arts and Sciences
SCM#,#Supply Chain Management
AS#,#ROTC - Aerospace Studies
MS#,#ROTC - Military Science
NS#,#ROTC - Naval Science
STS#,#Science, Technology, and Society
